,macro_f1,weighted_f1,mcc,fp,fp_rate,auroc,auprc,brier,ece
zero_shot,0.046087727861388095,0.004611458535564846,-0.0780559838581075,440.0,0.007724176672986448,0.9314459905666703,0.874167619097645,1.7288940323765452,0.9059919694324191
buffer_1pct,0.8525271432095857,0.9728984601501367,0.7115304212056077,9227.0,0.1765865421419276,0.9304347853239565,0.8702892080602164,0.1565279137792411,0.22368597634740292
buffer_5pct,0.8466197643430688,0.9721222883524748,0.6936650203003382,13999.0,0.26796960241955553,0.9298699620460167,0.8701170862352275,0.04276966988577616,0.03911623972035628
buffer_10pct,0.8461395118600595,0.9705668110798797,0.6927061994903557,14004.0,0.26809097174362506,0.929039309002526,0.8698589328861566,0.042406291825576474,0.022909835232621648
