,macro_f1,weighted_f1,mcc,fp,fp_rate,auroc,auprc,brier,ece
zero_shot,0.026567909554050043,0.002082537368263852,-0.043099103507339136,357.0,0.006279572918682169,0.8627906530623086,0.550846885863747,1.7761544258900333,0.9284543170735557
buffer_1pct,0.2072296520342156,0.35643271315505204,0.06486086395198748,1647.0,0.03701872288777506,0.8603862279646282,0.5404017321517424,0.649799337842028,0.4069903131235063
buffer_5pct,0.5469032100130498,0.8926935751451138,0.2622063683892535,6446.0,0.1474787224306763,0.8566945879611967,0.5397076893942733,0.15100611560612462,0.14028193515538642
buffer_10pct,0.5424569458358011,0.8884841136832893,0.2485977729437593,8022.0,0.18552266419981497,0.8514430978610916,0.5391822571075814,0.1302756910505793,0.10847071208755044
