,macro_f1,weighted_f1,mcc,fp,fp_rate,auroc,auprc,brier,ece
random,0.8068860532286107,0.9209653461989825,0.9074311788226231,8186.0,0.2543183795203181,0.9908026218941437,0.8496049059642322,0.10079743533623552,0.001796672032732234
temporal_stratified,0.7874435127348715,0.9066457761907482,0.8910796793909794,17106.0,0.2657201441531005,0.9652743120512001,0.8284578488768067,0.12632584061818705,0.01802483457966402
chronological_blind,0.021413108757468543,0.05112339151571474,0.025588151055128447,66.0,0.0011045655375552283,,0.03603809146484128,0.705570492903572,0.7338724934205092
