,macro_f1,weighted_f1,mcc,fp,fp_rate,auroc,auprc,brier,ece
random,0.7861342664082812,0.9010037060936831,0.8846565212809625,7763.0,0.2411768360879831,0.9944344766413491,0.8289355899474363,0.11898187919336672,0.0023317306907362457
temporal_stratified,0.7957075518269965,0.8975664583589634,0.8800906050922799,16675.0,0.25902510252267924,0.9854564809793852,0.8028765437766141,0.1261856959742946,0.01588762993184998
chronological_blind,0.020930783526756647,0.04997184916439728,0.010372937354227183,118.0,0.001974829294416923,,0.020825248817867178,0.8286410546667812,0.8286204594186868
