,macro_f1,weighted_f1,mcc,fp,fp_rate,auroc,auprc,brier,ece
random,0.8235546731571772,0.9211056459555295,0.9087410768505412,9883.0,0.30703989064247544,0.9943555032860094,0.8573557559742433,0.09798391171011989,0.002517219871464153
temporal_stratified,0.8110982577197501,0.8998069628590657,0.8838527585643954,23601.0,0.36661178078787127,0.986199796362751,0.8176000399113631,0.13310914234684268,0.025883637366613484
chronological_blind,0.025495847477529407,0.05652293480584102,0.05686576074469625,42.0,0.0007029053420805998,,0.03362237987155838,0.8233072655298017,0.8261631069270808
