source,target,model,budget,strategy,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,ece_mean,ece_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std
nfunsw,nf2018,lgbm,0.1,augment,0.9734,0.0014,0.9866,0.0007,0.0011,0.0002,0.981,0.0019,0.0007,0.0002
nfunsw,nf2018,lgbm,0.1,buffer_only,0.9766,0.0001,0.9882,0.0,0.0017,0.0001,0.9875,0.0,0.0001,0.0
nfunsw,nf2018,lgbm,0.1,calibrate,0.0,0.0,0.4685,0.0,0.0613,0.0212,0.7022,0.0778,0.0,0.0
nfunsw,nf2018,mlp,0.0,zero_shot,-0.001,0.0722,0.4927,0.0343,0.242,0.0204,0.4745,0.0152,0.2042,0.0076
nfunsw,nf2018,mlp,0.01,augment,0.9639,0.0009,0.9818,0.0005,0.0038,0.0009,0.9822,0.0008,0.0013,0.0004
nfunsw,nf2018,mlp,0.01,buffer_only,0.949,0.0167,0.9742,0.0086,0.004,0.0016,0.9792,0.0023,0.0018,0.0007
nfunsw,nf2018,mlp,0.01,calibrate,0.0,0.0,0.4685,0.0,0.0135,0.0057,0.4918,0.0286,0.0,0.0
nfunsw,nf2018,mlp,0.05,augment,0.9708,0.0021,0.9853,0.001,0.0012,0.0004,0.9835,0.0008,0.0006,0.0004
nfunsw,nf2018,mlp,0.05,buffer_only,0.9706,0.001,0.9851,0.0005,0.0013,0.0001,0.9845,0.0008,0.0006,0.0
nfunsw,nf2018,mlp,0.05,calibrate,0.0,0.0,0.4685,0.0,0.0178,0.0011,0.4919,0.0286,0.0,0.0
nfunsw,nf2018,mlp,0.1,augment,0.9725,0.0008,0.9861,0.0004,0.0012,0.0006,0.9848,0.0005,0.0003,0.0001
nfunsw,nf2018,mlp,0.1,buffer_only,0.9721,0.001,0.9859,0.0005,0.001,0.0001,0.985,0.0,0.0003,0.0
nfunsw,nf2018,mlp,0.1,calibrate,0.0,0.0,0.4685,0.0,0.0222,0.0049,0.4918,0.0286,0.0,0.0
nfunsw,nf2018,rf,0.0,zero_shot,-0.1876,0.0498,0.3994,0.0327,0.138,0.0363,0.5007,0.0004,0.259,0.1022
nfunsw,nf2018,rf,0.01,augment,0.9721,0.0006,0.9859,0.0003,0.0059,0.0002,0.9831,0.0003,0.0004,0.0002
nfunsw,nf2018,rf,0.01,buffer_only,0.9723,0.0004,0.986,0.0002,0.0057,0.0003,0.9833,0.0004,0.0003,0.0001
nfunsw,nf2018,rf,0.01,calibrate,0.0,0.0,0.4685,0.0,0.0661,0.0229,0.5269,0.001,0.0,0.0
nfunsw,nf2018,rf,0.05,augment,0.9758,0.0003,0.9878,0.0002,0.0055,0.0002,0.9841,0.0,0.0002,0.0
nfunsw,nf2018,rf,0.05,buffer_only,0.976,0.0003,0.9879,0.0001,0.0054,0.0002,0.9842,0.0001,0.0001,0.0
nfunsw,nf2018,rf,0.05,calibrate,0.0,0.0,0.4685,0.0,0.0594,0.0329,0.5269,0.001,0.0,0.0
nfunsw,nf2018,rf,0.1,augment,0.9767,0.0001,0.9882,0.0001,0.0053,0.0001,0.9845,0.0002,0.0001,0.0
nfunsw,nf2018,rf,0.1,buffer_only,0.9767,0.0,0.9882,0.0,0.0052,0.0001,0.9846,0.0002,0.0001,0.0
nfunsw,nf2018,rf,0.1,calibrate,0.0,0.0,0.4685,0.0,0.0509,0.0445,0.5269,0.001,0.0,0.0
