seed,source,target,model,budget,strategy,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece
42,nf2018,nfunsw,rf,0.0,zero_shot,0.4905044310379471,0.943689915309356,0.0096756837443689,0.4906239669496102,1.7436791630340016e-06,0.0553099057532359,0.1259610015704066
42,nf2018,nfunsw,rf,0.01,calibrate,0.4903704413077457,0.9436782682911834,0.0,0.5267136048050147,0.0,0.0362659357149245,0.0112683782163646
42,nf2018,nfunsw,rf,0.01,buffer_only,0.97015615550764,0.9956031357328208,0.940663454388148,0.9872557320520048,0.0033705318221447,0.0035369504322719,0.0007243500261735
42,nf2018,nfunsw,rf,0.01,augment,0.9672830058561828,0.99520967447132,0.9346608266195664,0.9854458517297844,0.0030496948561464,0.0039336886508671,0.001661006939318
42,nf2018,nfunsw,rf,0.01,weighted_augment,0.9672309747220088,0.9952050548416098,0.9345398650674428,0.9845179015008994,0.0029991281604184,0.0038657161456585,0.0012514037466052
42,nf2018,nfunsw,rf,0.05,calibrate,0.4903704413077457,0.9436782682911834,0.0,0.5267136048050147,0.0,0.0362534703060119,0.0105848877182855
42,nf2018,nfunsw,rf,0.05,buffer_only,0.9739987218495758,0.9961795810603732,0.948219870895716,0.9904296540246418,0.0028387096774193,0.0029805622107685,0.0006393870045506
42,nf2018,nfunsw,rf,0.05,augment,0.9728658510036616,0.996018344587407,0.9459006580014908,0.9902807477764368,0.0028125544899738,0.0030713819316746,0.0006289623684056
42,nf2018,nfunsw,rf,0.05,weighted_augment,0.9721741581578708,0.9959286277462844,0.944425348803866,0.9862985160990504,0.002615518744551,0.0032345968544145,0.0010428886532532
42,nf2018,nfunsw,rf,0.1,calibrate,0.4903704413077457,0.9436782682911834,0.0,0.5267136048050147,0.0,0.0362590078443543,0.0110092929630154
42,nf2018,nfunsw,rf,0.1,buffer_only,0.9754553998668642,0.9964029783779772,0.9510350848896908,0.9907371875615504,0.0025021795989537,0.0027868354853719,0.0006634911793264
42,nf2018,nfunsw,rf,0.1,augment,0.975220107763136,0.9963716092950322,0.9505380437140772,0.9910429134961248,0.0024463818657367,0.0028159635257044,0.0006670648609228
42,nf2018,nfunsw,rf,0.1,weighted_augment,0.9740586636229428,0.9962066146063234,0.9481800746705008,0.9886420692657965,0.0024202266782911,0.0029821397945198,0.0008298323557441
