source,target,model,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
nf2018,nfunsw,rf,0.0,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0,0.0,,,,,,,,,,,,,,
nf2018,nfunsw,lgbm,0.039,0.016,0.0759,0.1242,0.0082,0.025,0.0009,0.0,0.0612,,,,,,,,,,,,,,
nfunsw,nf2018,rf,,,,,,,,,,0.0,0.0357,0.0612,0.0,0.0,0.0023,0.0,0.0003,0.004,0.0,0.0,0.1892,0.0,0.0004
nfunsw,nf2018,lgbm,,,,,,,,,,0.0,0.0,0.0204,0.0,0.2162,0.0678,0.0,0.0002,0.0,0.0,0.0,0.1284,0.0,0.0
