macro_f1_lo,macro_f1_hi,mcc_lo,mcc_hi,fp_rate_lo,fp_rate_hi,brier_lo,brier_hi,ece_lo,ece_hi,auprc_macro_lo,auprc_macro_hi,source,model,target,seed,B,B_auprc
0.9875,0.9882,0.9753,0.9767,0.0003,0.0004,0.0047,0.005,0.0002,0.0005,0.9843,0.9854,nf2018,lgbm,nf2018,42,1000,200
0.4052,0.4065,-0.093,-0.0895,0.323,0.3255,0.3391,0.3416,0.3401,0.3425,0.4984,0.4988,nf2018,lgbm,nfunsw,42,1000,200
0.9867,0.9874,0.9738,0.9752,0.0002,0.0002,0.005,0.0053,0.0002,0.0005,0.9858,0.9866,nf2018,mlp,nf2018,42,1000,200
0.483,0.4839,-0.0339,-0.0321,0.0347,0.0356,0.0642,0.0653,0.047,0.0482,0.4876,0.4884,nf2018,mlp,nfunsw,42,1000,200
0.9885,0.9892,0.9772,0.9786,0.0001,0.0001,0.0047,0.005,0.005,0.0052,0.9848,0.9858,nf2018,rf,nf2018,42,1000,200
0.4903,0.4907,-0.0003,0.016,0.0,0.0,0.0549,0.0557,0.1255,0.1264,0.49,0.4914,nf2018,rf,nfunsw,42,1000,200
0.4485,0.4494,-0.1022,-0.1003,0.1061,0.1075,0.1823,0.1838,0.18,0.1816,0.4316,0.4324,nfunsw,lgbm,nf2018,42,1000,200
0.979,0.9809,0.958,0.9618,0.0018,0.0021,0.0021,0.0023,0.0003,0.0005,0.9945,0.9954,nfunsw,lgbm,nfunsw,42,1000,200
0.4675,0.4692,-0.054,-0.0504,0.2086,0.2104,0.2505,0.2522,0.2555,0.2573,0.4849,0.4856,nfunsw,mlp,nf2018,42,1000,200
0.9725,0.9745,0.9451,0.9492,0.0026,0.0029,0.0029,0.0031,0.0004,0.0007,0.9905,0.9919,nfunsw,mlp,nfunsw,42,1000,200
0.4221,0.423,-0.1533,-0.1516,0.1858,0.1876,0.1977,0.1984,0.1628,0.1645,0.5001,0.5006,nfunsw,rf,nf2018,42,1000,200
0.9812,0.9829,0.9624,0.9658,0.0016,0.0018,0.002,0.0022,0.0006,0.0008,0.9938,0.9949,nfunsw,rf,nfunsw,42,1000,200
