seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
42,nf2018v2,nf2018v2,rf,0,in_domain,249999,0.9884052180472929,0.9951994302480829,0.9770527113321592,0.9846149472177047,0.00011342884041696441,0.005026432090061772,0.005231207177297355,0.9771272585968024,0.54,,,,179
42,nf2018v2,nfunswv2,rf,0,zero_shot,249999,0.49300494086008717,0.9436911708691015,0.01774516410626893,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,,,,179
42,nf2018v2,nfunswv2,rf,0.0001,calibrate,144,0.49037055157195203,0.943678896856096,0.0,0.5342698227202077,0.0,0.03712702784072348,0.03164538417300242,0.21301849557248545,0.07549173302974675,,,0,
42,nf2018v2,nfunswv2,rf,0.0001,rethreshold,144,0.09150403072293245,0.9436911708691015,0.010836864863310508,0.482504028346021,0.9420552686004094,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.07053456158585983,0.02666666666666667,0,
42,nf2018v2,nfunswv2,rf,0.001,calibrate,1392,0.49037055157195203,0.943678896856096,0.0,0.5342698227202077,0.0,0.035842930521739445,0.003489674349744857,0.21301849557248545,0.05303543479352049,,,0,
42,nf2018v2,nfunswv2,rf,0.001,rethreshold,1392,0.07550494894476081,0.9436911708691015,0.035150879869758504,0.482504028346021,0.9606426871472963,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.04151123155169913,0.02,0,
42,nf2018v2,nfunswv2,rf,0.01,calibrate,13907,0.49037055157195203,0.943678896856096,0.0,0.5342698227202077,0.0,0.03538360931660803,0.018177766455970995,0.21301849557248545,0.07195123238086915,,,0,
42,nf2018v2,nfunswv2,rf,0.01,rethreshold,13907,0.07550494894476081,0.9436911708691015,0.035150879869758504,0.482504028346021,0.9606426871472963,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.03333757556467238,0.02,0,
42,nf2018v2,nfunswv2,rf,0.05,calibrate,69537,0.49037055157195203,0.943678896856096,0.0,0.5342698227202077,0.0,0.035349052379787686,0.0122861947791113,0.21301849557248545,0.07828311821494716,,,0,
42,nf2018v2,nfunswv2,rf,0.05,rethreshold,69537,0.06797910038142795,0.9436911708691015,0.032647240029811286,0.482504028346021,0.968489207137735,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.03310261928738223,0.016666666666666666,0,
42,nf2018v2,nfunswv2,rf,0.1,calibrate,139072,0.49037055157195203,0.943678896856096,0.0,0.5342698227202077,0.0,0.03534936386141308,0.012003580131975543,0.21301849557248545,0.0787613924865022,,,0,
