seed,target,source,model,budget,rule,strategy,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,mcc_at_threshold,mcc_at_half,mcc_at_mcc_opt,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s
42,nf2018v2,any,rf,0.0001,diversity,retrain_diversity,210,146,64,129,56,0.94115,0.94281,,0.91799,0.00269,0.93965,0.55333,0.6
42,nf2018v2,any,rf,0.0001,uniform,retrain_uniform,210,147,63,128,55,0.8874,0.93201,,0.80856,0.0001,0.9285,0.76333,0.7
42,nf2018v2,any,rf,0.0001,stratified,retrain_stratified,217,151,66,129,56,0.91925,0.94772,,0.86182,0.00013,0.94003,0.67667,0.7
42,nf2018v2,any,rf,0.001,diversity,retrain_diversity,2100,1470,630,1319,565,0.96796,0.96476,,0.95211,0.00108,0.95705,0.46333,0.8
42,nf2018v2,any,rf,0.001,uniform,retrain_uniform,2100,1470,630,1283,550,0.9582,0.95968,,0.94506,0.00241,0.95232,0.44333,0.9
42,nf2018v2,any,rf,0.001,stratified,retrain_stratified,2102,1472,630,1296,555,0.94706,0.95792,,0.95118,0.00596,0.95355,0.26,0.9
42,nf2018v2,any,rf,0.01,uniform,retrain_uniform,21000,14700,6300,12947,5548,0.95728,0.97158,,0.95798,0.00444,0.95929,0.23,2.0
42,nf2018v2,any,rf,0.01,stratified,retrain_stratified,21001,14701,6300,12960,5554,0.96527,0.97209,,0.95654,0.00232,0.95942,0.29,1.5
42,nf2018v2,any,lgbm,0.0001,diversity,retrain_diversity,210,146,64,129,56,0.92512,0.94944,,0.87305,0.00031,0.93919,0.99724,0.7
42,nf2018v2,any,lgbm,0.0001,uniform,retrain_uniform,210,147,63,128,55,0.80931,0.88226,,0.68462,0.00022,0.90177,0.99985,0.6
42,nf2018v2,any,lgbm,0.0001,stratified,retrain_stratified,217,151,66,129,56,0.93651,0.95888,,0.89075,0.0001,0.94134,0.99961,0.0
42,nf2018v2,any,lgbm,0.001,diversity,retrain_diversity,2100,1470,630,1319,565,0.96793,0.96977,,0.94472,0.0001,0.95625,0.99952,0.2
42,nf2018v2,any,lgbm,0.001,uniform,retrain_uniform,2100,1470,630,1283,550,0.9499,0.95792,,0.95025,0.00513,0.95135,0.02584,0.2
42,nf2018v2,any,lgbm,0.001,stratified,retrain_stratified,2102,1472,630,1296,555,0.94632,0.95152,,0.93995,0.00453,0.95042,0.03039,0.2
42,nf2018v2,any,lgbm,0.01,uniform,retrain_uniform,21000,14700,6300,12947,5548,0.96383,0.97296,,0.95768,0.00282,0.96043,0.02549,0.6
42,nf2018v2,any,lgbm,0.01,stratified,retrain_stratified,21001,14701,6300,12960,5554,0.96925,0.97316,,0.95722,0.00147,0.95899,0.06973,0.6
42,nf2018v2,any,mlp,0.0001,diversity,retrain_diversity,210,146,64,129,56,0.91907,0.93337,,0.87107,0.00138,0.91647,0.94641,0.4
42,nf2018v2,any,mlp,0.0001,uniform,retrain_uniform,210,147,63,128,55,0.91339,0.91208,,0.86254,0.00151,0.88978,0.93446,0.2
42,nf2018v2,any,mlp,0.0001,stratified,retrain_stratified,217,151,66,129,56,0.18165,0.9202,,0.03944,0.00024,0.90325,0.99993,0.2
42,nf2018v2,any,mlp,0.001,diversity,retrain_diversity,2100,1470,630,1319,565,0.92972,0.94619,,0.88707,0.00113,0.93543,0.59911,0.8
42,nf2018v2,any,mlp,0.001,uniform,retrain_uniform,2100,1470,630,1283,550,0.94195,0.94163,,0.91355,0.0019,0.94142,0.84954,2.0
42,nf2018v2,any,mlp,0.001,stratified,retrain_stratified,2102,1472,630,1296,555,0.94701,0.95325,,0.90903,0.00015,0.93374,0.94421,1.8
42,nf2018v2,any,mlp,0.01,uniform,retrain_uniform,21000,14700,6300,12947,5548,0.94753,0.94282,,0.94662,0.00518,0.94911,0.18347,6.2
42,nf2018v2,any,mlp,0.01,stratified,retrain_stratified,21001,14701,6300,12960,5554,0.94688,0.95814,,0.94721,0.00543,0.95055,0.17052,2.5
42,nfunswv2,any,rf,0.0001,diversity,retrain_diversity,139,97,42,90,39,0.39042,0.82614,,0.17438,0.00069,0.93318,0.78,0.6
42,nfunswv2,any,rf,0.0001,uniform,retrain_uniform,139,97,42,95,41,0.15993,0.5398,,0.02765,4e-05,0.93953,0.77333,0.6
42,nfunswv2,any,rf,0.0001,stratified,retrain_stratified,144,101,43,94,40,0.84218,0.86223,,0.91678,0.00984,0.91678,0.53333,0.6
42,nfunswv2,any,rf,0.001,diversity,retrain_diversity,1391,973,418,899,386,0.76749,0.92488,,0.63059,0.00129,1.0,0.83333,0.8
42,nfunswv2,any,rf,0.001,uniform,retrain_uniform,1391,974,417,937,401,0.89559,0.88903,,0.94549,0.00624,0.9955,0.35667,0.8
42,nfunswv2,any,rf,0.001,stratified,retrain_stratified,1392,975,417,937,401,0.89124,0.89192,,0.97473,0.00824,0.99286,0.49333,0.8
42,nfunswv2,any,rf,0.01,uniform,retrain_uniform,13907,9734,4173,9355,4010,0.926,0.93507,,0.99907,0.00619,1.0,0.09,1.0
42,nfunswv2,any,rf,0.01,stratified,retrain_stratified,13907,9734,4173,9367,4015,0.93236,0.93589,,0.99127,0.00521,1.0,0.24,1.0
42,nfunswv2,any,lgbm,0.0001,diversity,retrain_diversity,139,97,42,90,39,0.11509,0.39407,,0.02064,0.00036,0.32522,0.99994,0.0
42,nfunswv2,any,lgbm,0.0001,uniform,retrain_uniform,139,97,42,95,41,0.2206,0.58918,,0.05306,0.0001,0.60294,0.99946,0.0
42,nfunswv2,any,lgbm,0.0001,stratified,retrain_stratified,144,101,43,94,40,0.56033,0.67533,,0.44813,0.00644,0.74266,0.99249,0.0
42,nfunswv2,any,lgbm,0.001,diversity,retrain_diversity,1391,973,418,899,386,0.80553,0.90821,,0.70984,0.00216,0.99974,0.99787,0.2
42,nfunswv2,any,lgbm,0.001,uniform,retrain_uniform,1391,974,417,937,401,0.89322,0.86306,,0.97777,0.00822,0.99841,6e-05,2.3
42,nfunswv2,any,lgbm,0.001,stratified,retrain_stratified,1392,975,417,937,401,0.8624,0.83992,,0.90831,0.00735,0.97195,0.08512,0.1
42,nfunswv2,any,lgbm,0.01,uniform,retrain_uniform,13907,9734,4173,9355,4010,0.92819,0.93104,,0.99616,0.00584,0.9996,5e-05,0.4
42,nfunswv2,any,lgbm,0.01,stratified,retrain_stratified,13907,9734,4173,9367,4015,0.93689,0.93642,,0.99259,0.00487,0.99974,0.00243,0.4
