seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s,benign_expected,benign_ratio
42,nfunswv2,lgbm,0.0001,split,diversity,139,97,42,90,39,0.0,0.073938,0.962205,0.928571,0.115087,0.02064,0.000364,0.325218,0.999937,0.0,40.412618,0.965045
42,nfunswv2,lgbm,0.0001,split,uniform,139,98,41,92,39,0.0,0.073938,0.962205,0.95122,0.594705,0.429214,0.002936,0.771103,0.993652,0.0,39.450413,0.988583
42,nfunswv2,lgbm,0.0001,reserved,diversity,139,97,42,87,38,0.0,0.075808,0.962205,0.904762,0.337542,0.160095,0.002063,0.711564,0.999883,0.0,40.412618,0.9403
42,nfunswv2,lgbm,0.0001,reserved,uniform,139,97,42,95,38,0.0,0.075808,0.962205,0.904762,0.421999,0.26687,0.004355,0.289098,0.079696,0.0,40.412618,0.9403
42,nfunswv2,lgbm,0.001,split,diversity,1391,973,418,899,386,3.0,0.019964,0.962205,0.923445,0.805534,0.709844,0.002156,0.999735,0.997866,0.2,402.201769,0.959717
42,nfunswv2,lgbm,0.001,split,uniform,1391,974,417,936,401,2.0,0.015616,0.962205,0.961631,0.880226,0.912543,0.005929,0.999338,0.909179,0.1,401.239564,0.999403
42,nfunswv2,lgbm,0.001,reserved,diversity,1391,974,417,887,398,0.0,0.007499,0.962205,0.954436,0.905964,0.928817,0.004474,0.999471,0.559608,0.1,401.239564,0.991926
42,nfunswv2,lgbm,0.001,reserved,uniform,1391,974,417,932,398,3.0,0.019365,0.962205,0.954436,0.911304,0.978433,0.006501,0.992591,0.00019,0.7,401.239564,0.991926
42,nfunswv2,mlp,0.0001,split,diversity,139,97,42,90,39,0.0,0.073938,0.962205,0.928571,0.627135,0.499471,0.004484,0.800476,0.98655,0.2,40.412618,0.965045
42,nfunswv2,mlp,0.0001,split,uniform,139,98,41,92,39,0.0,0.073938,0.962205,0.95122,0.646651,0.695422,0.016202,0.685102,0.038179,0.1,39.450413,0.988583
42,nfunswv2,mlp,0.0001,reserved,diversity,139,97,42,87,38,0.0,0.075808,0.962205,0.904762,0.715999,0.668298,0.007051,0.750463,0.783893,0.1,40.412618,0.9403
42,nfunswv2,mlp,0.0001,reserved,uniform,139,97,42,95,38,0.0,0.075808,0.962205,0.904762,0.662774,0.571051,0.005825,0.577666,0.005221,0.1,40.412618,0.9403
42,nfunswv2,mlp,0.001,split,diversity,1391,973,418,899,386,3.0,0.019964,0.962205,0.923445,0.624272,0.462953,0.002775,0.991532,0.66509,0.5,402.201769,0.959717
42,nfunswv2,mlp,0.001,split,uniform,1391,974,417,936,401,3.0,0.019221,0.962205,0.961631,0.812247,0.912808,0.012825,0.843874,0.03323,0.1,401.239564,0.999403
42,nfunswv2,mlp,0.001,reserved,diversity,1391,974,417,887,398,1.0,0.011863,0.962205,0.954436,0.897937,0.941916,0.005841,0.990738,0.235371,0.6,401.239564,0.991926
42,nfunswv2,mlp,0.001,reserved,uniform,1391,974,417,932,398,1.0,0.011863,0.962205,0.954436,0.683059,0.562715,0.003845,0.798624,0.257955,0.3,401.239564,0.991926
42,nftonv2,rf,0.0001,split,diversity,210,147,63,41,18,0.0,0.153318,0.274009,0.285714,0.832528,0.928614,0.067352,0.844315,0.626667,0.4,17.262544,1.04272
