seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,thr_applied,single_class_buffer,fit_s
42,nf2018v2,nf2018v2,rf,0.0,in_domain,249999,0.9884052180472928,0.9951994302480828,0.9770527113321592,0.9846149472177048,0.0001134288404169,0.0050264320900617,0.0052312071772973,0.9771272585968024,0.54,,,,179.0
42,nf2018v2,nfunswv2,rf,0.0,zero_shot,249999,0.4930049408600871,0.9436911708691016,0.0177451641062689,0.482504028346021,0.0005092443437503,0.0702414220555555,0.1724326833333333,0.0351508798697585,0.02,,,,179.0
42,nf2018v2,nfunswv2,rf,0.0001,calibrate,144,0.490370551571952,0.943678896856096,0.0,0.5342698227202077,0.0,0.0371270278407234,0.0316453841730024,0.2130184955724854,0.0754917330297467,,,0.0,
42,nf2018v2,nfunswv2,rf,0.0001,rethreshold,144,0.0915040307229324,0.9436911708691016,0.0108368648633105,0.482504028346021,0.9420552686004094,0.0702414220555555,0.1724326833333333,0.0351508798697585,0.02,0.0705345615858598,0.0266666666666666,0.0,
42,nf2018v2,nfunswv2,rf,0.001,calibrate,1392,0.490370551571952,0.943678896856096,0.0,0.5342698227202077,0.0,0.0358429305217394,0.0034896743497448,0.2130184955724854,0.0530354347935204,,,0.0,
42,nf2018v2,nfunswv2,rf,0.001,rethreshold,1392,0.0755049489447608,0.9436911708691016,0.0351508798697585,0.482504028346021,0.9606426871472964,0.0702414220555555,0.1724326833333333,0.0351508798697585,0.02,0.0415112315516991,0.02,0.0,
42,nf2018v2,nfunswv2,rf,0.01,calibrate,13907,0.490370551571952,0.943678896856096,0.0,0.5342698227202077,0.0,0.035383609316608,0.0181777664559709,0.2130184955724854,0.0719512323808691,,,0.0,
42,nf2018v2,nfunswv2,rf,0.01,rethreshold,13907,0.0755049489447608,0.9436911708691016,0.0351508798697585,0.482504028346021,0.9606426871472964,0.0702414220555555,0.1724326833333333,0.0351508798697585,0.02,0.0333375755646723,0.02,0.0,
42,nf2018v2,nfunswv2,rf,0.05,calibrate,69537,0.490370551571952,0.943678896856096,0.0,0.5342698227202077,0.0,0.0353490523797876,0.0122861947791113,0.2130184955724854,0.0782831182149471,,,0.0,
42,nf2018v2,nfunswv2,rf,0.05,rethreshold,69537,0.0679791003814279,0.9436911708691016,0.0326472400298112,0.482504028346021,0.968489207137735,0.0702414220555555,0.1724326833333333,0.0351508798697585,0.02,0.0331026192873822,0.0166666666666666,0.0,
