,nf2018v2,nfunswv2,nftonv2,nfbotv2
L4_SRC_PORT,0.03766160087109159,-0.00854387929662548,0.05893107037353641,-0.0005184376993747634
L4_DST_PORT,-0.08866611797965647,-0.11761172001818945,-0.10605223510038515,0.012980495800354944
PROTOCOL,-0.30249079772603105,0.12081838710683752,0.06827337409807796,0.04588832067636027
L7_PROTO,0.023509257915751283,0.038490544368262436,-0.01807024313823148,0.05865177168066023
IN_BYTES,0.03619593491765083,0.04247077825534123,-0.0038980577855418862,-0.06517952377539052
IN_PKTS,0.04030799819255528,-0.0509863148440796,-0.003212815914994096,-0.06778089040629759
OUT_BYTES,-0.0042080038064746346,-0.03279155263370838,-0.0007585047162420878,-0.041223739805707864
OUT_PKTS,-0.0005875097145927259,-0.05367066294529666,-0.0010603721863219405,-0.04409514373618149
TCP_FLAGS,0.28539952109195327,-0.11321355973671629,0.18901656503694236,-0.1340057946779307
CLIENT_TCP_FLAGS,0.2856503049384008,-0.10643045455643703,0.24226339367430885,-0.3153434820859525
SERVER_TCP_FLAGS,0.06632448804522831,-0.1612975415572202,0.22648750088639666,-0.04475180551630769
FLOW_DURATION_MILLISECONDS,0.7692339703348751,0.043950090742889754,0.13499588855132152,0.08323243869019131
DURATION_IN,0.05538951691752333,0.04589559507629752,0.04289233406944781,0.09909518556502238
DURATION_OUT,0.4027680334932686,0.0335924055263961,0.08767022028039335,-0.3850501738101463
MIN_TTL,0.21119001979199084,0.7783300423414276,0.18261090620223927,0.1781455747428649
MAX_TTL,0.21084244455502493,0.7783886173832202,0.18106226559546873,0.17814896677437428
LONGEST_FLOW_PKT,0.22089103752361444,-0.08552963576818591,0.2044756267834747,-0.07525857997017914
SHORTEST_FLOW_PKT,-0.10841961813518498,0.1620907816684548,0.0035933178517709684,0.018261684039076406
MIN_IP_PKT_LEN,-0.16398002562290817,-0.4428126322118918,0.295377384698788,-0.1697872621747719
MAX_IP_PKT_LEN,0.22089103752361444,-0.08552963576818591,0.2044756267834747,-0.07525857997017914
SRC_TO_DST_SECOND_BYTES,-0.0005786584616053479,0.0017913183042017342,-0.002571939509264963,-0.045796038724731813
DST_TO_SRC_SECOND_BYTES,-0.0005786584617488641,0.00014800050306057613,0.0009724042640302484,-0.04017139873728536
RETRANSMITTED_IN_BYTES,0.09678249592219358,0.04662109267709068,-0.027155743343512995,-0.056394215567368615
RETRANSMITTED_IN_PKTS,-0.00731578081426087,0.010710256565729747,-0.051215057654208404,-0.0508457289779033
RETRANSMITTED_OUT_BYTES,0.012575912152055531,-0.032261101292168706,0.01402313728518329,-0.30760381947892457
RETRANSMITTED_OUT_PKTS,0.04003070723153508,-0.043172454841456036,0.04865341387981014,-0.30714926537437304
SRC_TO_DST_AVG_THROUGHPUT,-0.08869189019530191,0.02218896594614476,0.07760204089531668,-0.044599699043546714
DST_TO_SRC_AVG_THROUGHPUT,-0.04279207329703686,-0.05896025200327184,0.029376636635828814,-0.037100146639351295
NUM_PKTS_UP_TO_128_BYTES,0.041222207682938924,-0.10359114898698807,-0.048474859102780064,-0.039822308677027476
NUM_PKTS_128_TO_256_BYTES,-0.04663349559344155,-0.026245516412334198,-0.018416531426339353,0.0031478007525106134
NUM_PKTS_256_TO_512_BYTES,0.07565379988942302,0.017468614026857975,0.00023839542834098407,-0.0782023430657904
NUM_PKTS_512_TO_1024_BYTES,0.131117602214999,-0.02953665669486752,-0.0015963860968672516,-0.06282486951678783
NUM_PKTS_1024_TO_1514_BYTES,-0.0053122362422884355,-0.017396182996967387,-0.0012825942550539642,-0.06065683518407296
TCP_WIN_MAX_IN,0.6014088832343019,-0.08958114896908495,0.27084506222824933,-0.429119173992487
TCP_WIN_MAX_OUT,0.056702004831618934,-0.02150408110401972,0.24986171526963705,0.002586719635739959
ICMP_TYPE,-0.0015770850977719242,0.031657182752806455,0.00010285959577647697,0.025665443525770524
ICMP_IPV4_TYPE,-0.0015770794288440379,0.031640570108594425,0.0001030082111122586,0.025665452640906396
DNS_QUERY_ID,-0.24217697809548658,-0.030719973261072685,0.07654670633950923,-0.19727634073858216
DNS_QUERY_TYPE,-0.0902927665710018,0.024802971253277514,0.02126420432673373,-0.19171626631504746
DNS_TTL_ANSWER,-0.26666834130757006,0.011136107815469469,-0.1559103555808356,-0.07382392202162492
FTP_COMMAND_RET_CODE,0.0,-0.03304934967056562,0.0329636318233357,0.0001777506066442833
