source,target,budget,n_buffer,kappa_buffer,kappa_oracle,realised_corr,reversed_share
nf2018v2,nfunswv2,0.0001,144,-2.091356,389.382599,0.015695,0.58194
nf2018v2,nfunswv2,0.001,1392,2.772469,389.382599,0.015695,0.355064
nf2018v2,nfunswv2,0.01,13907,-0.45284,389.382599,0.015695,0.527882
nf2018v2,nftonv2,0.0001,213,-44.932204,-27.77796,-0.147489,0.961646
nf2018v2,nftonv2,0.001,2100,-23.80326,-27.77796,-0.147489,0.927578
nf2018v2,nftonv2,0.01,21000,-442573.694716,-27.77796,-0.147489,0.999995
nf2018v2,nfbotv2,0.0001,211,-1.294119,-1.559302,-0.215707,0.901461
nf2018v2,nfbotv2,0.001,2101,-1.066951,-1.559302,-0.215707,0.879184
nf2018v2,nfbotv2,0.01,21000,-2.759218,-1.559302,-0.215707,0.88936
nfunswv2,nf2018v2,0.0001,217,-90.187174,14.170484,0.12257,0.823869
nfunswv2,nf2018v2,0.001,2102,5.215311,14.170484,0.12257,0.432722
nfunswv2,nf2018v2,0.01,21001,14.910051,14.170484,0.12257,0.230883
nfunswv2,nftonv2,0.0001,213,-0.11829,917084009.691204,0.001374,0.5137
nfunswv2,nftonv2,0.001,2100,5.500562,917084009.691204,0.001374,0.226242
nfunswv2,nftonv2,0.01,21000,-1.452243620016366e+19,917084009.691204,0.001374,1.0
nfunswv2,nfbotv2,0.0001,211,-1.136307,3457976.390179,0.034455,0.800327
nfunswv2,nfbotv2,0.001,2101,-0.760976,3457976.390179,0.034455,0.699539
nfunswv2,nfbotv2,0.01,21000,28.915005,3457976.390179,0.034455,0.303494
nftonv2,nf2018v2,0.0001,217,-6.317068,0.428323,0.046266,0.716122
nftonv2,nf2018v2,0.001,2102,-0.091294,0.428323,0.046266,0.508577
nftonv2,nf2018v2,0.01,21001,0.461491,0.428323,0.046266,0.449043
nftonv2,nfunswv2,0.0001,144,0.574976,-4.65037,-0.0124,0.47529
nftonv2,nfunswv2,0.001,1392,1.431326,-4.65037,-0.0124,0.383668
nftonv2,nfunswv2,0.01,13907,0.544153,-4.65037,-0.0124,0.462733
nftonv2,nfbotv2,0.0001,211,-0.573307,-0.636766,-0.148996,0.899386
nftonv2,nfbotv2,0.001,2101,-0.785973,-0.636766,-0.148996,0.902463
nftonv2,nfbotv2,0.01,21000,-0.850829,-0.636766,-0.148996,0.876569
nfbotv2,nf2018v2,0.0001,217,-8.764845,1.11594,0.001707,0.530012
nfbotv2,nf2018v2,0.001,2102,0.596579,1.11594,0.001707,0.491473
nfbotv2,nf2018v2,0.01,21001,3.126618,1.11594,0.001707,0.449983
nfbotv2,nfunswv2,0.0001,144,-1092.887757,-502.847837,-0.027569,0.888673
nfbotv2,nfunswv2,0.001,1392,-97.631251,-502.847837,-0.027569,0.775247
nfbotv2,nfunswv2,0.01,13907,-588.018715,-502.847837,-0.027569,0.881041
nfbotv2,nftonv2,0.0001,213,10.655105,-74.712444,-0.001416,0.274294
nfbotv2,nftonv2,0.001,2100,-8.399561,-74.712444,-0.001416,0.62725
nfbotv2,nftonv2,0.01,21000,-62157914404570.31,-74.712444,-0.001416,1.0
