seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s
42,nf2018v2,lgbm,0.001,reserved,uniform,2100,1470,630,1316,558,0,0.005354310138928536,0.8816055919720401,0.8857142857142857,0.9500089278771212,0.9146078804003548,0.00020417191275053594,0.9488998690823092,0.9994870013435484,0.2
42,nf2018v2,mlp,0.0001,split,diversity,210,146,64,129,56,0,0.05208952720877943,0.8816055919720401,0.875,0.9190719053860571,0.8710671903374297,0.001383831853086966,0.9164660669791799,0.9464101324887157,0.2
42,nf2018v2,mlp,0.0001,split,uniform,210,147,63,127,55,0,0.05301105495125375,0.8816055919720401,0.873015873015873,0.9176347351431859,0.8806115123104861,0.0029945213870078606,0.9024029730985261,0.8592939239971648,0.2
42,nf2018v2,mlp,0.0001,reserved,diversity,210,147,63,133,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.9237868601130279,0.8768951391528359,0.0011059311940654032,0.9034587609274041,0.808508178258294,0.2
42,nf2018v2,mlp,0.0001,reserved,uniform,210,147,63,120,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.8406022277829873,0.8626208877064065,0.01941334603736346,0.8502470543519575,0.3124799197713964,0.2
42,nf2018v2,mlp,0.001,split,diversity,2100,1470,630,1319,565,2,0.011100712058479846,0.8816055919720401,0.8968253968253969,0.9297203680302317,0.8870729338232188,0.001128616962148796,0.9354280163858271,0.5991081105786752,0.6
42,nf2018v2,mlp,0.001,split,uniform,2100,1470,630,1299,556,3,0.013885911087220093,0.8816055919720401,0.8825396825396825,0.9310115663161489,0.9043033911905064,0.0031646646476333074,0.9133409350057012,0.5662567571489442,0.5
42,nf2018v2,mlp,0.001,reserved,diversity,2100,1470,630,1310,558,5,0.018747614830471333,0.8816055919720401,0.8857142857142857,0.9278289973004072,0.9206047552683813,0.006221571896870498,0.9235187296760843,0.48729853408104784,0.6
42,nf2018v2,mlp,0.001,reserved,uniform,2100,1470,630,1316,558,5,0.018747614830471333,0.8816055919720401,0.8857142857142857,0.937292273885394,0.9219983952025002,0.004151495559260898,0.933189746188606,0.3419877607272167,1.0
42,nfunswv2,rf,0.0001,split,diversity,139,97,42,90,39,0,0.07393758892668655,0.9622051889740552,0.9285714285714286,0.3904193537958669,0.17438475787245303,0.0006859209528065599,0.9331833818470495,0.78,0.4
42,nfunswv2,rf,0.0001,split,uniform,139,98,41,92,39,0,0.07393758892668655,0.9622051889740552,0.9512195121951219,0.7407014625333173,0.6557290288436094,0.004344166034441546,0.9187615771368087,0.6566666666666666,0.4
42,nfunswv2,rf,0.0001,reserved,diversity,139,97,42,87,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.4509222569716431,0.29558084149245833,0.004396129742987497,0.9081767663403016,0.8733333333333333,0.4
42,nfunswv2,rf,0.0001,reserved,uniform,139,97,42,95,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.5359217917026812,0.40804445620534535,0.005726400681763856,0.6487165916909235,0.37333333333433333,0.4
42,nfunswv2,rf,0.001,split,diversity,1391,973,418,899,386,2,0.016219824099948807,0.9622051889740552,0.9234449760765551,0.7674894575417224,0.6305901032019052,0.0012938963427941924,1.0,0.8333333333333334,0.6
42,nfunswv2,rf,0.001,split,uniform,1391,974,417,936,401,2,0.015616348770899562,0.9622051889740552,0.9616306954436451,0.9073741644479416,0.9920613919026198,0.0076074869311273,0.9998676898650437,0.4533333333333333,0.6
42,nfunswv2,rf,0.001,reserved,diversity,1391,974,417,887,398,0,0.007498708846630895,0.9622051889740552,0.9544364508393285,0.8857997167836089,0.8670283143688806,0.0032217499298489933,1.0,0.7533333333333333,0.6
42,nfunswv2,rf,0.001,reserved,uniform,1391,974,417,932,398,1,0.011863343725194717,0.9622051889740552,0.9544364508393285,0.9221977888458947,0.9933844932521831,0.006256430508932561,0.9994707594601746,0.2966666666666667,0.5
42,nfunswv2,lgbm,0.0001,split,diversity,139,97,42,90,39,0,0.07393758892668655,0.9622051889740552,0.9285714285714286,0.11508681146212306,0.020640381053188675,0.00036374595982166053,0.32521831172267796,0.9999366987365579,0.0
42,nfunswv2,lgbm,0.0001,split,uniform,139,98,41,92,39,0,0.07393758892668655,0.9622051889740552,0.9512195121951219,0.5947047374245222,0.42921407779835935,0.0029359495328462604,0.7711034665255359,0.9936524421368399,0.0
42,nfunswv2,lgbm,0.0001,reserved,diversity,139,97,42,87,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.3375422461203312,0.16009526329716856,0.002062959229274275,0.7115639057951839,0.9998833137460046,0.0
42,nfunswv2,lgbm,0.0001,reserved,uniform,139,97,42,95,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.42199910642653776,0.26686954220693304,0.004354558776150736,0.28909764487959777,0.07969643724432326,0.0
42,nfunswv2,lgbm,0.001,split,diversity,1391,973,418,899,386,3,0.019963804772990968,0.9622051889740552,0.9234449760765551,0.8055341035258471,0.7098438740407516,0.0021564939046569876,0.9997353797300873,0.9978663647151587,0.2
42,nfunswv2,lgbm,0.001,split,uniform,1391,974,417,936,401,2,0.015616348770899562,0.9622051889740552,0.9616306954436451,0.8802258811984774,0.9125430007938609,0.005929059145093067,0.9993384493252183,0.9091793531053892,0.1
42,nfunswv2,lgbm,0.001,reserved,diversity,1391,974,417,887,398,0,0.007498708846630895,0.9622051889740552,0.9544364508393285,0.9059635872922512,0.9288171473934903,0.0044740753058064246,0.9994707594601746,0.5596080656002956,0.1
42,nfunswv2,lgbm,0.001,reserved,uniform,1391,974,417,932,398,3,0.01936548059820562,0.9622051889740552,0.9544364508393285,0.911303881016972,0.978433448002117,0.006500659939098534,0.992590632442445,0.00019030226559420475,0.7
42,nfunswv2,mlp,0.0001,split,diversity,139,97,42,90,39,0,0.07393758892668655,0.9622051889740552,0.9285714285714286,0.6271351276584163,0.49947075946017466,0.004484468047515615,0.8004763164858428,0.9865497065971132,0.2
42,nfunswv2,mlp,0.0001,split,uniform,139,98,41,92,39,0,0.07393758892668655,0.9622051889740552,0.9512195121951219,0.6466510800393074,0.6954220693305108,0.01620228432462768,0.6851018788039164,0.03817926291707803,0.1
42,nfunswv2,mlp,0.0001,reserved,diversity,139,97,42,87,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.7159985541972109,0.6682984916644615,0.007051475249685619,0.7504630854723472,0.7838926431946548,0.1
42,nfunswv2,mlp,0.0001,reserved,uniform,139,97,42,95,38,0,0.07580765168296455,0.9622051889740552,0.9047619047619048,0.6627736888614286,0.5710505424715533,0.005825131728001164,0.5776660492193703,0.005220755404494958,0.1
42,nfunswv2,mlp,0.001,split,diversity,1391,973,418,899,386,3,0.019963804772990968,0.9622051889740552,0.9234449760765551,0.6242721018237077,0.46295316221222543,0.0027748620363538105,0.9915321513627944,0.6650896646395541,0.5
42,nfunswv2,mlp,0.001,split,uniform,1391,974,417,936,401,3,0.019221461523308985,0.9622051889740552,0.9616306954436451,0.8122474725672412,0.9128076210637734,0.012824643269140831,0.8438740407515216,0.033230464529149226,0.1
42,nfunswv2,mlp,0.001,reserved,diversity,1391,974,417,887,398,1,0.011863343725194717,0.9622051889740552,0.9544364508393285,0.897936898718535,0.9419158507541677,0.005840720840564949,0.9907382905530564,0.23537117519884923,0.6
42,nfunswv2,mlp,0.001,reserved,uniform,1391,974,417,932,398,1,0.011863343725194717,0.9622051889740552,0.9544364508393285,0.6830587314545542,0.5627150039693041,0.0038453144324004118,0.7986239745964541,0.2579551059670442,0.3
42,nftonv2,rf,0.0001,split,diversity,210,147,63,41,18,0,0.1533175539572782,0.2740086299568502,0.2857142857142857,0.8325281075978573,0.9286142275666852,0.06735155651253603,0.8443149651852311,0.6266666666666667,0.4
42,nftonv2,rf,0.0001,split,uniform,210,147,63,43,19,0,0.14586850331224344,0.2740086299568502,0.30158730158730157,0.8401225857131415,0.9519962533661164,0.10656545381555417,0.8208227442715759,0.71,0.4
42,nftonv2,rf,0.0001,reserved,diversity,210,147,63,47,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.7960807359873757,0.8704587560349043,0.011167475639575198,0.8652244881092584,0.8166666666666667,0.4
42,nftonv2,rf,0.0001,reserved,uniform,210,147,63,32,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.844587986015225,0.9154941217793756,0.02636765081566366,0.7504287278662782,0.77,0.5
42,nftonv2,rf,0.001,split,diversity,2100,1470,630,410,176,1,0.02666878642963602,0.2740086299568502,0.27936507936507937,0.904873325422732,0.9537456008044244,0.022864129046385167,0.8843915507896168,0.7833333333333333,0.6
42,nftonv2,rf,0.001,split,uniform,2100,1470,630,395,169,1,0.02776119309006995,0.2740086299568502,0.26825396825396824,0.8428103113790075,0.905941582815072,0.011313455713295135,0.9001838880968615,0.9466666666666667,0.6
42,nftonv2,rf,0.001,reserved,diversity,2100,1470,630,432,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.8974672511376779,0.9455842751572002,0.015583372869603299,0.9125119665006852,0.83,0.6
42,nftonv2,rf,0.001,reserved,uniform,2100,1470,630,421,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.8778462293183291,0.9336556540424389,0.01755410386482245,0.8912374222607905,0.82,0.6
42,nftonv2,lgbm,0.0001,split,diversity,210,147,63,41,18,0,0.1533175539572782,0.2740086299568502,0.2857142857142857,0.8356382244878158,0.9307630322940557,0.06755227911390095,0.3417288235982837,0.9600730415352862,0.1
42,nftonv2,lgbm,0.0001,split,uniform,210,147,63,43,19,0,0.14586850331224344,0.2740086299568502,0.30158730158730157,0.6305985149947658,0.7373430580521636,0.03321046677128572,0.5006164039201911,0.9999680905479239,0.1
42,nftonv2,lgbm,0.0001,reserved,diversity,210,147,63,47,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.7336912721576089,0.8402584075428555,0.04248020145250173,0.33737611658643085,0.9988756247468148,0.1
42,nftonv2,lgbm,0.0001,reserved,uniform,210,147,63,32,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.811834286778702,0.9166580576733679,0.07112879092003942,0.3062666584020331,0.9998207462777261,0.0
42,nftonv2,lgbm,0.001,split,diversity,2100,1470,630,410,176,1,0.02666878642963602,0.2740086299568502,0.27936507936507937,0.8647593945261823,0.9249846759919282,0.017919054049122293,0.8440394773996708,0.9998394029648532,0.3
42,nftonv2,lgbm,0.001,split,uniform,2100,1470,630,395,169,1,0.02776119309006995,0.2740086299568502,0.26825396825396824,0.8791730211883688,0.9371061385565818,0.022681653954235246,0.8169521408844536,0.9998720002540897,0.2
42,nftonv2,lgbm,0.001,reserved,diversity,2100,1470,630,432,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.9150814901869974,0.9593035668781036,0.02111236816174592,0.8894329772653705,0.9984889226098229,0.3
42,nftonv2,lgbm,0.001,reserved,uniform,2100,1470,630,421,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.7683557476387811,0.8483439740490506,0.011787890952884931,0.8104575163398693,0.9999902659027513,1.2
42,nftonv2,mlp,0.0001,split,diversity,210,147,63,41,18,0,0.1533175539572782,0.2740086299568502,0.2857142857142857,0.6381076931504122,0.8354993560473013,0.15234845443596948,0.06175747432798198,0.9918750803104913,0.3
42,nftonv2,mlp,0.0001,split,uniform,210,147,63,43,19,0,0.14586850331224344,0.2740086299568502,0.30158730158730157,0.3996284159678391,0.604371991156842,0.15667311411992263,0.0,0.9948629604956924,0.2
42,nftonv2,mlp,0.0001,reserved,diversity,210,147,63,47,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.6470210706375787,0.8120691198853971,0.10758731433159374,0.18570631624620343,0.9549633134790089,0.2
42,nftonv2,mlp,0.0001,reserved,uniform,210,147,63,32,14,0,0.19263617565013527,0.2740086299568502,0.2222222222222222,0.0,0.0,0.0,0.0,1.000000000001,0.3
42,nftonv2,mlp,0.001,split,diversity,2100,1470,630,410,176,1,0.02666878642963602,0.2740086299568502,0.27936507936507937,0.3350362857856768,0.3299103975977465,0.008284369183606437,0.34489693313222725,0.9589922728362157,0.6
42,nftonv2,mlp,0.001,split,uniform,2100,1470,630,395,169,1,0.02776119309006995,0.2740086299568502,0.26825396825396824,0.27805506238874256,0.24980543675144803,0.008412101748111384,0.27928262980640095,0.9795846472814128,0.7
42,nftonv2,mlp,0.001,reserved,diversity,2100,1470,630,432,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.35261964041733385,0.3596217552704257,0.011076238093500237,0.3427412412102178,0.9585634994437794,0.5
42,nftonv2,mlp,0.001,reserved,uniform,2100,1470,630,421,172,1,0.027282249955415977,0.2740086299568502,0.273015873015873,0.5122998034445562,0.5950742783941817,0.02507207766139922,0.33603311363182436,0.9066882546677524,0.5
42,nfbotv2,rf,0.0001,split,diversity,210,147,63,6,3,0,0.6315968501359612,0.004195,0.047619047619047616,0.49819643650440026,0.9936784812287546,0.24791418355184744,0.0,0.97,0.5
42,nfbotv2,rf,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,rf,0.0001,reserved,diversity,210,147,63,7,0,0,,0.004195,0.0,,,,0.980432916082968,,0.5
42,nfbotv2,rf,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,rf,0.001,split,diversity,2100,1470,630,16,7,0,0.34816365513116077,0.004195,0.011111111111111112,0.6838973372414412,0.9954107480882302,0.011918951132300357,0.9949488102590367,0.9266666666666666,0.6
42,nfbotv2,rf,0.001,split,uniform,2100,1470,630,5,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.6839374716118868,0.9976099738402598,0.19785458879618595,0.0,0.79,0.6
42,nfbotv2,rf,0.001,reserved,diversity,2100,1470,630,24,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.72862922126941,0.9963346237466171,0.0023837902264600714,0.998478617801678,0.9333333333333333,0.6
42,nfbotv2,rf,0.001,reserved,uniform,2100,1470,630,7,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.7772017825956129,0.9979463850854334,0.07508939213349225,0.0,0.91,0.6
42,nfbotv2,lgbm,0.0001,split,diversity,210,147,63,6,3,0,0.6315968501359612,0.004195,0.047619047619047616,0.024111328285456844,0.14571627979373472,0.014302741358760428,0.08707025973960765,0.9999985052563145,0.0
42,nfbotv2,lgbm,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,lgbm,0.0001,reserved,diversity,210,147,63,7,0,0,,0.004195,0.0,,,,0.03147704620884611,,0.0
42,nfbotv2,lgbm,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,lgbm,0.001,split,diversity,2100,1470,630,16,7,0,0.34816365513116077,0.004195,0.011111111111111112,0.7095544100215215,0.9962291814160403,0.028605482717520857,0.9951145053499431,0.9999543378414689,0.1
42,nfbotv2,lgbm,0.001,split,uniform,2100,1470,630,5,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.739873807090926,0.998880302870542,0.2550655542312277,0.9012607890098965,0.9997129519937058,0.1
42,nfbotv2,lgbm,0.001,reserved,diversity,2100,1470,630,24,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.8288951251178353,0.9981120801763398,0.0023837902264600714,0.9983028805840501,0.9999013560989115,0.1
42,nfbotv2,lgbm,0.001,reserved,uniform,2100,1470,630,7,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.30910968128657706,0.9736444384191684,0.16090584028605484,0.9273150867890801,0.9999955455742012,0.1
42,nfbotv2,mlp,0.0001,split,diversity,210,147,63,6,3,0,0.6315968501359612,0.004195,0.047619047619047616,0.0,0.0,0.0,0.0,1.000000000001,0.1
42,nfbotv2,mlp,0.0001,split,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,mlp,0.0001,reserved,diversity,210,147,63,7,0,0,,0.004195,0.0,,,,0.0,,0.1
42,nfbotv2,mlp,0.0001,reserved,uniform,210,147,63,0,0,,,0.004195,0.0,,,,,,
42,nfbotv2,mlp,0.001,split,diversity,2100,1470,630,16,7,0,0.34816365513116077,0.004195,0.011111111111111112,-0.012042627264092016,0.08410281129337571,0.13587604290822408,0.0,0.9999994671235566,0.9
42,nfbotv2,mlp,0.001,split,uniform,2100,1470,630,5,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.480622942658007,0.9986593760826667,0.5876042908224076,0.0,0.9713218819522824,0.3
42,nfbotv2,mlp,0.001,reserved,diversity,2100,1470,630,24,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.66654091319436,0.9972685415317256,0.19427890345649582,0.0,0.763564623384156,2.1
42,nfbotv2,mlp,0.001,reserved,uniform,2100,1470,630,7,2,0,0.776393202250021,0.004195,0.0031746031746031746,0.43245337079926,0.9951898213003549,0.4302741358760429,0.0,0.9774082354074937,0.3
