seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s
42,nf2018v2,rf,0.0001,split,diversity,210,146,64,129,56,0,0.05208952720877943,0.8816055919720401,0.875,0.9411520407004529,0.917986401452764,0.002688263517882057,0.9396511677013387,0.5533333333333333,0.5
42,nf2018v2,rf,0.0001,split,uniform,210,147,63,127,55,0,0.05301105495125375,0.8816055919720401,0.873015873015873,0.9010864645447877,0.8313273364584653,0.00011342884041696441,0.9022762785590608,0.8133333333333334,0.4
42,nf2018v2,rf,0.0001,reserved,diversity,210,147,63,133,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.9242843958328202,0.9082309219139322,0.005297126847472238,0.9119050635584273,0.37,0.4
42,nf2018v2,rf,0.0001,reserved,uniform,210,147,63,120,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.8974081147549783,0.8247814519194223,5.6714420208482206e-05,0.8999113138223742,0.8666666666666667,0.4
42,nf2018v2,rf,0.001,split,diversity,2100,1470,630,1319,565,2,0.011100712058479846,0.8816055919720401,0.8968253968253969,0.9679633027478793,0.9521094640820981,0.0010832454259820101,0.9570505511212467,0.4633333333333333,0.6
42,nf2018v2,rf,0.001,split,uniform,2100,1470,630,1299,556,4,0.016386981816092317,0.8816055919720401,0.8825396825396825,0.9340445733710006,0.9377929811225136,0.007208402808498089,0.9402001773723553,0.3466666666666667,0.6
42,nf2018v2,rf,0.001,reserved,diversity,2100,1470,630,1310,558,1,0.008473082229487316,0.8816055919720401,0.8857142857142857,0.9638472532236521,0.9389332319777017,0.0002722292170007146,0.9525317792136492,0.6233333333333333,0.6
42,nf2018v2,rf,0.001,reserved,uniform,2100,1470,630,1316,558,1,0.008473082229487316,0.8816055919720401,0.8857142857142857,0.9602698569124583,0.9333586722412264,0.0003516294052925897,0.9567126990160058,0.64,0.5
42,nf2018v2,lgbm,0.0001,split,diversity,210,146,64,129,56,0,0.05208952720877943,0.8816055919720401,0.875,0.925115221341588,0.8730520714557203,0.0003062578691258039,0.9391866210566324,0.9972406604213377,0.1
42,nf2018v2,lgbm,0.0001,split,uniform,210,147,63,127,55,0,0.05301105495125375,0.8816055919720401,0.873015873015873,0.9229540236479296,0.8684066050086574,0.00017581470264629485,0.8906203809282487,0.999514131331491,0.0
42,nf2018v2,lgbm,0.0001,reserved,diversity,210,147,63,133,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.8731711081045866,0.7945014569872039,0.001287417338732546,0.9183664850711601,0.9390955343553675,0.0
42,nf2018v2,lgbm,0.0001,reserved,uniform,210,147,63,120,52,0,0.05598218012623554,0.8816055919720401,0.8253968253968254,0.9058008265066795,0.8405338063262807,0.00028924354306325925,0.9031209088221631,0.9997275033074624,0.0
42,nf2018v2,lgbm,0.001,split,diversity,2100,1470,630,1319,565,1,0.00836845366734555,0.8816055919720401,0.8968253968253969,0.9679336777869677,0.9447189492799527,0.00010208595637526797,0.9562481523712995,0.9995248023376269,0.2
42,nf2018v2,lgbm,0.001,split,uniform,2100,1470,630,1299,556,5,0.01881471718356923,0.8816055919720401,0.8825396825396825,0.9323046698668698,0.939397778622408,0.00787763296695818,0.9396089361881836,0.016829834612313205,0.2
42,nf2018v2,lgbm,0.001,reserved,diversity,2100,1470,630,1310,558,1,0.008473082229487316,0.8816055919720401,0.8857142857142857,0.9597816307764641,0.9322606528991934,0.0003176007531675004,0.9458169686219857,0.9955240568514864,1.3
