seed,target,model,budget,rule,n_labels,n_fit,n_cal,n_benign_cal,n_benign_select,n_benign_certify,fp_certify,thr_split,bound_split,fpr_split,tpr_split,mcc_split,thr_empirical,fp_obs_empirical,bound_naive,fpr_empirical,tpr_empirical,fit_s
42,nfunswv2,lgbm,0.0001,uniform,139,97,42,41,21,20,0.0,0.994877,0.139108,0.000447,0.205875,0.434111,0.999463,0.0,0.070461,9.9e-05,0.053056,0.0
42,nfunswv2,lgbm,0.0001,stratified,144,101,43,40,21,19,3.0,6.8e-05,0.359426,0.117802,0.889786,0.415747,0.992491,0.0,0.072158,0.006438,0.448134,0.0
42,nfunswv2,lgbm,0.001,diversity,1391,973,418,386,190,196,0.0,0.999989,0.015168,0.000473,0.181265,0.404841,0.997866,3.0,0.019964,0.002156,0.709844,0.2
42,nfunswv2,lgbm,0.001,uniform,1391,974,417,401,197,204,2.0,8.8e-05,0.030538,0.00754,0.954618,0.88702,5.9e-05,3.0,0.019221,0.008215,0.977772,0.1
42,nfunswv2,lgbm,0.001,stratified,1392,975,417,401,201,200,0.0,0.972813,0.014867,0.003388,0.711829,0.78988,0.085119,2.0,0.015616,0.007353,0.908309,0.1
42,nfunswv2,lgbm,0.01,uniform,13907,9734,4173,4010,2007,2003,3.0,0.999998,0.003866,0.000779,0.487563,0.676855,4.7e-05,28.0,0.009561,0.005841,0.996163,0.4
42,nfunswv2,lgbm,0.01,stratified,13907,9734,4173,4015,2001,2014,2.0,0.999993,0.003123,0.000411,0.497751,0.691004,0.002428,15.0,0.005747,0.004869,0.992591,0.4
42,nfunswv2,mlp,0.0001,diversity,139,97,42,39,19,20,0.0,0.501992,0.139108,0.007426,0.673062,0.714952,0.98655,0.0,0.073938,0.004484,0.499471,0.3
42,nfunswv2,mlp,0.0001,uniform,139,97,42,41,21,20,0.0,0.962771,0.139108,0.002084,0.289759,0.485109,0.98447,0.0,0.070461,2.6e-05,0.02117,0.1
42,nfunswv2,mlp,0.0001,stratified,144,101,43,40,21,19,2.0,0.003137,0.295802,0.086873,0.855914,0.458061,0.998529,0.0,0.072158,0.002302,0.291082,0.2
