seed,source,target,model,budget,buffer_est,cv_est,cv_mode,rt,bo,chose_rt,realised,oracle,regret,always_retrain,correct
42,nf2018v2,nfunswv2,rf,0.0001,0.3401433029285876,0.9358576176957496,cv3,0.1532694460072396,0.8761985266844862,0,0.8761985266844862,0.8761985266844862,0.0,0.0,True
42,nf2018v2,nfunswv2,rf,0.001,0.2531446096196038,0.9060216923915888,cv3,0.2105348516145728,0.9017121184941622,0,0.9017121184941622,0.9017121184941622,0.0,0.0,True
42,nf2018v2,nfunswv2,rf,0.01,0.2194924512653471,0.9381582452348606,cv3,0.2130184955724854,0.9416738256656512,0,0.9416738256656512,0.9416738256656512,0.0,0.0,True
42,nf2018v2,nfunswv2,rf,0.05,0.226800157118769,0.9473607608291452,cv3,0.2130184955724854,0.947460954031949,0,0.947460954031949,0.947460954031949,0.0,0.0,True
42,nf2018v2,nfunswv2,rf,0.1,0.2209360844467434,0.9494563386460269,cv3,0.2130184955724854,0.9521709432394554,0,0.9521709432394554,0.9521709432394554,0.0,0.0,True
42,nf2018v2,nftonv2,rf,0.0001,0.3628305384890698,0.8317509721471161,cv3,0.2965437553964016,0.8729442246372302,0,0.8729442246372302,0.8729442246372302,0.0,0.0,True
42,nf2018v2,nftonv2,rf,0.001,0.3287890725546364,0.9291181068479296,cv3,0.3221783690932353,0.9356466158206888,0,0.9356466158206888,0.9356466158206888,0.0,0.0,True
42,nf2018v2,nftonv2,rf,0.01,0.3293400605942558,0.96059874035726,cv3,0.3230967368119067,0.966984422109598,0,0.966984422109598,0.966984422109598,0.0,0.0,True
42,nf2018v2,nftonv2,rf,0.05,0.3249521768300087,0.976413349956983,cv3,0.3231021574532543,0.9798130676390084,0,0.9798130676390084,0.9798130676390084,0.0,0.0,True
42,nf2018v2,nftonv2,rf,0.1,0.3253877448398088,0.9800184788845696,cv3,0.3231021574532543,0.9824624469465004,0,0.9824624469465004,0.9824624469465004,0.0,0.0,True
42,nf2018v2,nfbotv2,rf,0.0001,0.0693343798979097,1.0,resub,-0.0360057051808092,0.216992622689214,0,0.216992622689214,0.216992622689214,0.0,0.0,True
42,nf2018v2,nfbotv2,rf,0.001,0.3326978068575605,0.6858893278688257,cv3,0.1345313151405791,0.7254914102759167,0,0.7254914102759167,0.7254914102759167,0.0,0.0,True
42,nf2018v2,nfbotv2,rf,0.01,0.0840031489073643,0.918989628793936,cv3,0.1770706314836578,0.8904987449953482,0,0.8904987449953482,0.8904987449953482,0.0,0.0,True
42,nf2018v2,nfbotv2,rf,0.05,0.1191521258888382,0.9541725696614096,cv3,0.1770706314836578,0.957586525495166,0,0.957586525495166,0.957586525495166,0.0,0.0,True
42,nf2018v2,nfbotv2,rf,0.1,0.1506511291514737,0.9688218499862036,cv3,0.1770706314836578,0.9686476482794264,0,0.9686476482794264,0.9686476482794264,0.0,0.0,True
42,nf2018v2,nfunswv2,lgbm,0.0001,0.3061148374487811,0.8717152353914989,cv3,0.2073980181934562,0.7394773684828944,0,0.7394773684828944,0.7394773684828944,0.0,0.0,True
42,nf2018v2,nfunswv2,lgbm,0.001,0.3602200772402529,0.848410526924862,cv3,0.238089206101564,0.8783335913449848,0,0.8783335913449848,0.8783335913449848,0.0,0.0,True
42,nf2018v2,nfunswv2,lgbm,0.01,0.2892656753325028,0.9288510975947402,cv3,0.2403848321091293,0.9406611226839506,0,0.9406611226839506,0.9406611226839506,0.0,0.0,True
42,nf2018v2,nfunswv2,lgbm,0.05,0.2581817078106814,0.9413234193205956,cv3,0.2424976242963111,0.9454640344668888,0,0.9454640344668888,0.9454640344668888,0.0,0.0,True
42,nf2018v2,nfunswv2,lgbm,0.1,0.2587783625254428,0.948797937029876,cv3,0.2422781589971818,0.9488703253372784,0,0.9488703253372784,0.9488703253372784,0.0,0.0,True
42,nf2018v2,nftonv2,lgbm,0.0001,0.4055092844041108,0.8436747689238814,cv3,0.4761583795939519,0.8467710817392476,0,0.8467710817392476,0.8467710817392476,0.0,0.0,True
42,nf2018v2,nftonv2,lgbm,0.001,0.4707003324178225,0.9289197669682926,cv3,0.4771420726765807,0.932430527676789,0,0.932430527676789,0.932430527676789,0.0,0.0,True
42,nf2018v2,nftonv2,lgbm,0.01,0.4756206462568688,0.9655493210946152,cv3,0.4771420726765807,0.9693389129460036,0,0.9693389129460036,0.9693389129460036,0.0,0.0,True
42,nf2018v2,nftonv2,lgbm,0.05,0.4798189796909683,0.9766571986917038,cv3,0.4771420726765807,0.980042821964238,0,0.980042821964238,0.980042821964238,0.0,0.0,True
42,nf2018v2,nftonv2,lgbm,0.1,0.4782371525362169,0.9798412917889756,cv3,0.4771420726765807,0.9815567289244258,0,0.9815567289244258,0.9815567289244258,0.0,0.0,True
42,nf2018v2,nfbotv2,lgbm,0.0001,0.7054211845550483,1.0,resub,0.2467440767991976,0.4054627247441705,0,0.4054627247441705,0.4054627247441705,0.0,0.0,True
42,nf2018v2,nfbotv2,lgbm,0.001,0.3960681773913044,0.6559047092369128,cv3,0.2467440767991976,0.7755071246652027,0,0.7755071246652027,0.7755071246652027,0.0,0.0,True
42,nf2018v2,nfbotv2,lgbm,0.01,0.2588780276428083,0.8252567173307684,cv3,0.2467440767991976,0.8772887146612782,0,0.8772887146612782,0.8772887146612782,0.0,0.0,True
42,nf2018v2,nfbotv2,lgbm,0.05,0.2504142473100907,0.5911444901057817,cv3,0.2467440767991976,0.080256899090869,0,0.080256899090869,0.2467440767991976,0.1664871777083286,0.1664871777083286,False
42,nf2018v2,nfbotv2,lgbm,0.1,0.2511121356944135,0.4194382859019226,cv3,0.2467440767991976,-0.0023371958334884,0,-0.0023371958334884,0.2467440767991976,0.249081272632686,0.249081272632686,False
42,nf2018v2,nfunswv2,mlp,0.0001,0.3539826464506396,0.7908351786510934,cv3,0.2036713783107234,0.6738046434465649,0,0.6738046434465649,0.6738046434465649,0.0,0.0,True
