strategy,budget,mcc,fpr_mean,fpr_med,fpr_max
acq_diversity,0.0001,0.7592,0.1667,0.0531,0.8117
acq_diversity,0.001,0.9065,0.0775,0.0255,0.4255
acq_uncertainty,0.0001,0.2082,0.4,0.2136,1.0
acq_uncertainty,0.001,0.3717,0.2867,0.0633,1.0
al_iterative,0.0001,0.6849,0.2278,0.1194,0.9106
al_iterative,0.001,0.8936,0.0898,0.0373,0.64
augment,0.0001,0.5463,0.1651,0.0992,0.6317
augment,0.001,0.7722,0.1362,0.0616,0.5995
augment,0.01,0.9079,0.0651,0.0337,0.5209
buffer_only,0.0001,0.7067,0.2417,0.0501,0.9917
buffer_only,0.001,0.8758,0.1142,0.0263,0.5483
buffer_only,0.01,0.8993,0.0905,0.0175,0.6985
buffer_only,0.05,0.8983,0.0914,0.0114,0.9952
buffer_only,0.1,0.9115,0.0671,0.0083,1.0
calibrate,0.0001,0.0001,0.5001,0.5035,1.0
calibrate,0.001,0.0098,0.4976,0.4123,1.0
calibrate,0.01,0.0136,0.4977,0.4176,1.0
calibrate,0.05,0.0143,0.4976,0.4156,1.0
calibrate,0.1,0.0143,0.4976,0.4145,1.0
finetune,0.0001,0.2978,0.2593,0.1221,0.8498
finetune,0.001,0.4171,0.2387,0.0932,0.9583
finetune,0.01,0.5963,0.1393,0.0588,0.8498
insomnia,0.0001,0.0599,0.2065,0.1466,0.8497
insomnia,0.001,0.0997,0.1957,0.135,0.8498
iw_augment,0.0001,0.6013,0.1474,0.0554,0.6317
iw_augment,0.001,0.7798,0.1337,0.0597,0.5995
iw_augment,0.01,0.9062,0.0674,0.0329,0.5209
rethreshold_2s,0.0001,0.2155,0.2894,0.2001,0.9903
rethreshold_2s,0.001,0.2562,0.2894,0.2001,0.9903
rethreshold_2s,0.01,0.2706,0.2894,0.2001,0.9903
rethreshold_2s,0.05,0.2714,0.2894,0.2001,0.9903
rethreshold_2s,0.1,0.2718,0.2894,0.2001,0.9903
