strategy,budget,mcc,tpr_at_fpr01_buffer,fpr_at_fpr01_buffer,tpr_at_fpr001_buffer,tpr_at_fpr01_oracle
calibrate,0.0001,0.0004,0.2289,0.1683,0.2172,0.0259
calibrate,0.001,0.0153,0.0614,0.0209,0.0521,0.0205
calibrate,0.01,0.0153,0.0168,0.0038,0.0066,0.0185
rethreshold,0.0001,0.2358,0.2368,0.1772,0.2266,0.0167
rethreshold,0.001,0.2848,0.066,0.025,0.0535,0.0255
rethreshold,0.01,0.3018,0.0235,0.004,0.0078,0.0255
retrain (diversity),0.0001,0.7633,0.7789,0.0995,0.7789,0.5808
retrain (diversity),0.001,0.9131,0.9078,0.038,0.8438,0.8414
retrain (random),0.0001,0.6763,0.839,0.1491,0.839,0.5589
retrain (random),0.001,0.8703,0.9107,0.0715,0.8928,0.7024
retrain (random),0.01,0.9238,0.9519,0.0309,0.8818,0.8856
