seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,buffer_est,cv_est,cv_mode,n_pseudo,n_benign_buf,fit_s
42,nf2018v2,nfunswv2,rf,0.0001,selector_v2,144,0.49300494086008717,0.9436911708691015,,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.34014330292858763,0.9358576176957495,cv3,,134,
42,nf2018v2,nfunswv2,rf,0.0001,finetune,250143,0.5067377825256156,0.9450750390442756,0.1039081168183338,0.723131307434997,0.00028580039700273327,0.04253826909375001,0.12480286250000006,0.5437390706189781,0.2575,,,,,134,1
42,nf2018v2,nfunswv2,rf,0.0001,iw_augment,250143,0.8031824643393697,0.9741561531869456,0.6289641568146149,0.9343987319502682,0.004011598299747457,0.013082761277777778,0.02026361666666669,0.8843627057959601,0.19333333333333333,,,,,134,39
42,nf2018v2,nfunswv2,rf,0.001,selector_v2,1392,0.49300494086008717,0.9436911708691015,,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.2531446096196038,0.9060216923915888,cv3,,1338,
42,nf2018v2,nfunswv2,rf,0.001,finetune,251391,0.5052265056055725,0.9450508319383201,0.11720380531977403,0.7518928199086368,2.5981854272975754e-05,0.041981785531249996,0.12441458749999997,0.5696105927379125,0.2525,,,,,1338,1
42,nf2018v2,nfunswv2,rf,0.001,iw_augment,251391,0.9379612983791732,0.9910807057135156,0.8762114454489927,0.9634138386182648,0.0036374595982166056,0.006800518444444444,0.005094699999999975,0.9283227847514987,0.3,,,,,1338,37
42,nf2018v2,nfunswv2,rf,0.01,selector_v2,13907,0.49300494086008717,0.9436911708691015,,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.21949245126534717,0.9381582452348606,cv3,,13382,
42,nf2018v2,nfunswv2,rf,0.01,finetune,263906,0.5084563057073607,0.9453527319789499,0.13007068921478337,0.7820546576930578,2.5981854272975754e-05,0.041152333812500004,0.12903892500000005,0.5975968316810544,0.2525,,,,,13382,1
42,nf2018v2,nfunswv2,rf,0.01,iw_augment,263906,0.969450867653535,0.9955108097031985,0.9391279043552649,0.986472857266141,0.0032009644464306127,0.0037826693888888883,0.001746083333333398,0.9413843878188143,0.44333333333333336,,,,,13382,38
42,nf2018v2,nfunswv2,rf,0.05,selector_v2,69537,0.49300494086008717,0.9436911708691015,,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.22680015711876908,0.9473607608291451,cv3,,66908,
42,nf2018v2,nfunswv2,rf,0.1,selector_v2,139072,0.49300494086008717,0.9436911708691015,,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,0.22093608444674342,0.9494563386460267,cv3,,133817,
42,nf2018v2,nfunswv2,rf,0.0001,al_iterative,138,0.8918347929812,0.984463603914423,0.7839749673836198,0.951657406651831,0.0069527442034483114,0.009516911555555558,0.022392100000000036,0.8732258539909681,0.35333333333333333,,,,,67,1
42,nf2018v2,nfunswv2,rf,0.0001,insomnia,31623,0.4944647771910724,0.9440215436029115,0.04999210882765671,0.5197607287592104,8.314193367352242e-05,0.03752339099999999,0.04252806666666668,0.13947487419213161,0.32,,,,31484,133,1
42,nf2018v2,nfunswv2,rf,0.001,al_iterative,1389,0.966368420967054,0.9950516266961507,0.933019005949944,0.9796122577848005,0.003549121293688488,0.004110417333333332,0.0034462666666664876,0.9384757078199882,0.35,,,,,832,1
42,nf2018v2,nfunswv2,rf,0.001,insomnia,32875,0.5384043130523312,0.9480101299205745,0.2000567330883241,0.5423350514175983,0.00039492418494923144,0.03812958016666667,0.05051081666666657,0.22694029383029643,0.4266666666666667,,,,31484,1351,2
42,nf2018v2,nftonv2,rf,0.0001,selector_v2,213,0.2772332725386562,0.2247675123618267,,0.5745387800434103,0.16703769935403817,0.5436683319527708,0.5687160269134679,0.289746575725313,0.0033333333333333335,0.3628305384890698,0.8317509721471161,cv3,,58,
42,nf2018v2,nftonv2,rf,0.0001,finetune,250212,0.37577133741195134,0.35443319727573375,0.044042086774080294,0.8158696085542574,0.169793073245502,0.3230767012272562,0.35213262316311583,0.7698292627611732,0.2125,,,,,58,1
42,nf2018v2,nftonv2,rf,0.0001,iw_augment,250212,0.854908535256287,0.8832242919883663,0.7108376431977038,0.8571998071546731,0.17855187766869823,0.108953943714163,0.09129843982553246,0.72596042361103,0.3466666666666667,,,,,58,33
42,nf2018v2,nftonv2,rf,0.001,selector_v2,2100,0.2772332725386562,0.2247675123618267,,0.5745387800434103,0.16703769935403817,0.5436683319527708,0.5687160269134679,0.289746575725313,0.0033333333333333335,0.3287890725546364,0.9291181068479295,cv3,,575,
42,nf2018v2,nftonv2,rf,0.001,finetune,252099,0.38563233656306267,0.3668374573661455,0.05867688981346845,0.8403810245828978,0.1676763621765629,0.3146047009297547,0.3465682203411017,0.817192630954708,0.21,,,,,575,1
42,nf2018v2,nftonv2,rf,0.001,iw_augment,252099,0.9213478114842615,0.9376136935508131,0.8427859356150031,0.972931945606307,0.12366336995000182,0.044735949290857564,0.009556964451489007,0.8461627209317091,0.5966666666666667,,,,,575,36
42,nf2018v2,nftonv2,rf,0.01,selector_v2,21000,0.2772332725386562,0.2247675123618267,,0.5745387800434103,0.16703769935403817,0.5436683319527708,0.5687160269134679,0.289746575725313,0.0033333333333333335,0.32934006059425586,0.9605987403572599,cv3,,5754,
42,nf2018v2,nftonv2,rf,0.01,finetune,270999,0.38925427658670836,0.37119958221980653,0.06503212969276635,0.8515427481696918,0.1655961461260538,0.3104227914577073,0.349983412417062,0.8427164123217195,0.195,,,,,5754,1
42,nf2018v2,nftonv2,rf,0.01,iw_augment,270999,0.9791911234659472,0.9834559520940536,0.9583890151239088,0.9963269652459859,0.03286376409620087,0.013557465120658937,0.008359808465709072,0.9584451813258914,0.5033333333333333,,,,,5754,38
42,nf2018v2,nftonv2,rf,0.05,selector_v2,105000,0.2772332725386562,0.2247675123618267,,0.5745387800434103,0.16703769935403817,0.5436683319527708,0.5687160269134679,0.289746575725313,0.0033333333333333335,0.32495217683000877,0.976413349956983,cv3,,28771,
42,nf2018v2,nftonv2,rf,0.1,selector_v2,210000,0.2772332725386562,0.2247675123618267,,0.5745387800434103,0.16703769935403817,0.5436683319527708,0.5687160269134679,0.289746575725313,0.0033333333333333335,0.3253877448398088,0.9800184788845696,cv3,,57542,
42,nf2018v2,nftonv2,rf,0.0001,al_iterative,210,0.9433458941041007,0.9554690333698932,0.8881180566487358,0.9695424101524601,0.11937520528447867,0.04613500450835588,0.06481774075537046,0.8884695591549711,0.51,,,,,81,1
42,nf2018v2,nftonv2,rf,0.0001,insomnia,50210,0.3854361174829388,0.36754076664654606,0.05301336165358314,0.5295844588965131,0.17446443560453997,0.5392076666494442,0.5289394946974734,0.1999992010711876,0.016666666666666666,,,,50000,11,2
42,nf2018v2,nftonv2,rf,0.001,al_iterative,2100,0.9703159362468541,0.9764371207576393,0.9406878161431018,0.9921772533992721,0.05067333309003321,0.02067916011802281,0.0285549927749639,0.9450916818574006,0.5533333333333333,,,,,820,2
42,nf2018v2,nftonv2,rf,0.001,insomnia,52100,0.41333412165479,0.4037405980507853,0.08582831792395429,0.530936335895182,0.17835115506733332,0.5278687197880434,0.5017629088145442,0.18914835469200464,0.07333333333333333,,,,50000,111,2
42,nf2018v2,nfbotv2,rf,0.0001,selector_v2,211,0.04942952056622739,0.0897631688794609,,0.5141361806847943,0.0011918951132300357,0.6092299578888889,0.7367188000000001,0.1770706314836578,0.013333333333333334,0.0693343798979097,1.0,resub,,1,
42,nf2018v2,nfbotv2,rf,0.0001,finetune,250210,0.1448631990850101,0.2798079040951466,0.00754158977906139,0.5208342986981528,0.12038140643623362,0.34351241425000006,0.545517,0.17888808143314777,0.26,,,,,1,1
42,nf2018v2,nfbotv2,rf,0.0001,iw_augment,250210,0.7890418285120506,0.995281552805127,0.6334562830543208,0.7307168364560108,0.023837902264600714,0.005483124777777778,0.009561866666666408,0.6443476929895673,0.4766666666666667,,,,,1,37
42,nf2018v2,nfbotv2,rf,0.001,selector_v2,2101,0.04942952056622739,0.0897631688794609,,0.5141361806847943,0.0011918951132300357,0.6092299578888889,0.7367188000000001,0.1770706314836578,0.013333333333333334,0.33269780685756056,0.6858893278688257,cv3,,9,
42,nf2018v2,nfbotv2,rf,0.001,finetune,252100,0.1453523976920748,0.27985548964949203,0.024023690807510167,0.5964349637191337,0.026221692491060787,0.3432784100625,0.546383925,0.34738007206798077,0.2175,,,,,9,1
42,nf2018v2,nfbotv2,rf,0.001,iw_augment,252100,0.8709972498248908,0.9978572066682624,0.7420490957413372,0.8965063235964057,0.265792610250298,0.001706276722222222,0.002642883333333349,0.8053163199939093,0.6,,,,,9,35
42,nf2018v2,nfbotv2,rf,0.01,selector_v2,21000,0.04942952056622739,0.0897631688794609,,0.5141361806847943,0.0011918951132300357,0.6092299578888889,0.7367188000000001,0.1770706314836578,0.013333333333333334,0.08400314890736434,0.918989628793936,cv3,,88,
42,nf2018v2,nfbotv2,rf,0.01,finetune,270999,0.14554452485916175,0.2800258530119252,0.02779557259882163,0.8157486063592818,0.004767580452920143,0.34288914796875003,0.5444746874999999,0.63362627031968,0.315,,,,,88,1
42,nf2018v2,nfbotv2,rf,0.01,iw_augment,270999,0.9410325911617825,0.9990123388125434,0.8820752076571334,0.9749822516231919,0.11323003575685339,0.0006929423333333334,0.0005074999999997982,0.9133242529305561,0.6833333333333333,,,,,88,36
42,nf2018v2,nfbotv2,rf,0.05,selector_v2,105000,0.04942952056622739,0.0897631688794609,,0.5141361806847943,0.0011918951132300357,0.6092299578888889,0.7367188000000001,0.1770706314836578,0.013333333333333334,0.11915212588883824,0.9541725696614097,cv3,,440,
42,nf2018v2,nfbotv2,rf,0.1,selector_v2,210001,0.04942952056622739,0.0897631688794609,,0.5141361806847943,0.0011918951132300357,0.6092299578888889,0.7367188000000001,0.1770706314836578,0.013333333333333334,0.1506511291514737,0.9688218499862037,cv3,,881,
42,nf2018v2,nfbotv2,rf,0.0001,al_iterative,210,0.7641083547398637,0.9966384461364212,0.5825065121144054,0.8210078688287036,0.6269368295589988,0.002380131222222222,0.0031959333333334643,0.730642273061215,0.76,,,,,65,1
42,nf2018v2,nfbotv2,rf,0.0001,insomnia,8247,0.0791402761160691,0.14873932755328662,0.01577961320391932,0.4997226250588238,0.014302741358760428,0.7930880186111112,0.8430061833333332,0.036789880171420763,0.013333333333333334,,,,8037,54,1
42,nf2018v2,nfbotv2,rf,0.001,al_iterative,2100,0.9669777200328176,0.9994541047899314,0.9341819748662084,0.9843237162861025,0.08581644815256258,0.00044436583333333333,0.0009232500000000211,0.9529627231908063,0.78,,,,,496,1
