macro_f1_lo,macro_f1_hi,mcc_lo,mcc_hi,fp_rate_lo,fp_rate_hi,brier_lo,brier_hi,ece_lo,ece_hi,auprc_macro_lo,auprc_macro_hi,source,model,target,seed,B,B_auprc
0.4544,0.4583,-0.0856,-0.0778,0.8453,0.8512,0.3361,0.3391,0.365,0.369,0.4066,0.4088,nfbotv2,rf,nftonv2,42,1000,200
0.1548,0.1576,-0.1104,-0.0989,0.8495,0.8525,0.3216,0.3225,0.4576,0.4605,0.4872,0.4888,nfbotv2,rf,nfunswv2,42,1000,200
0.51,0.5143,0.0409,0.0499,0.2125,0.2164,0.2301,0.2332,0.1967,0.2003,0.5148,0.5208,nftonv2,lgbm,nf2018v2,42,1000,200
0.0359,0.0375,-0.0067,0.0025,0.0267,0.0523,0.8887,0.8904,0.9184,0.9203,0.549,0.5742,nftonv2,lgbm,nfbotv2,42,1000,200
0.9906,0.9915,0.9812,0.9831,0.0164,0.0186,0.0057,0.0063,0.0027,0.0033,0.9988,0.9991,nftonv2,lgbm,nftonv2,42,1000,200
0.3706,0.3732,-0.0675,-0.0595,0.4452,0.4491,0.3179,0.3206,0.2664,0.2704,0.4836,0.4856,nftonv2,lgbm,nfunswv2,42,1000,200
0.4637,0.4678,-0.0118,-0.003,0.3244,0.3285,0.3101,0.3134,0.2849,0.2889,0.5451,0.5519,nftonv2,mlp,nf2018v2,42,1000,200
0.05,0.0517,-0.1383,-0.1182,0.4634,0.5295,0.9237,0.9256,0.9229,0.9252,0.5011,0.5107,nftonv2,mlp,nfbotv2,42,1000,200
0.9765,0.978,0.9531,0.956,0.0415,0.0446,0.0136,0.0144,0.0023,0.0033,0.9959,0.9965,nftonv2,mlp,nftonv2,42,1000,200
0.3553,0.3583,-0.0486,-0.04,0.494,0.4985,0.4881,0.4923,0.4785,0.4829,0.4999,0.5009,nftonv2,mlp,nfunswv2,42,1000,200
0.55,0.5552,0.1019,0.1121,0.1278,0.1308,0.1594,0.1615,0.1023,0.1054,0.5439,0.5469,nftonv2,rf,nf2018v2,42,1000,200
0.0293,0.0308,-0.0072,0.0022,0.021,0.0448,0.5072,0.5084,0.6796,0.6815,0.5074,0.5178,nftonv2,rf,nfbotv2,42,1000,200
0.9912,0.992,0.9824,0.9841,0.0159,0.018,0.0053,0.0058,0.0028,0.0034,0.9981,0.9986,nftonv2,rf,nftonv2,42,1000,200
0.5152,0.5206,0.046,0.0576,0.0859,0.0884,0.1154,0.1167,0.168,0.1706,0.4969,0.5006,nftonv2,rf,nfunswv2,42,1000,200
0.4468,0.4491,-0.1061,-0.1016,0.115,0.118,0.2023,0.2055,0.1836,0.1871,0.432,0.4335,nfunswv2,lgbm,nf2018v2,42,1000,200
0.271,0.2733,-0.0023,0.0063,0.3191,0.3838,0.4276,0.4301,0.449,0.453,0.5114,0.5173,nfunswv2,lgbm,nfbotv2,42,1000,200
0.2186,0.2213,-0.1081,-0.0985,0.0422,0.0456,0.7125,0.7164,0.714,0.718,0.4818,0.486,nfunswv2,lgbm,nftonv2,42,1000,200
0.975,0.9783,0.9503,0.9567,0.0023,0.0027,0.0025,0.0028,0.001,0.0014,0.9914,0.9935,nfunswv2,lgbm,nfunswv2,42,1000,200
0.4526,0.4551,-0.0944,-0.0894,0.1112,0.1141,0.1902,0.1933,0.1827,0.1861,0.4579,0.4602,nfunswv2,mlp,nf2018v2,42,1000,200
0.0118,0.0127,-0.0687,-0.0432,0.0716,0.1086,0.9831,0.9841,0.9835,0.9846,0.4981,0.4991,nfunswv2,mlp,nfbotv2,42,1000,200
0.2561,0.2592,0.0194,0.0279,0.0332,0.0363,0.6769,0.6806,0.68,0.6836,0.5172,0.5213,nfunswv2,mlp,nftonv2,42,1000,200
0.9646,0.9688,0.9305,0.9387,0.0044,0.005,0.0037,0.0042,0.001,0.0016,0.9789,0.9839,nfunswv2,mlp,nfunswv2,42,1000,200
0.3511,0.3534,-0.2539,-0.2491,0.4047,0.4092,0.2188,0.2204,0.1986,0.2024,0.509,0.5101,nfunswv2,rf,nf2018v2,42,1000,200
0.3261,0.3284,0.0491,0.0546,0.0531,0.0858,0.299,0.3007,0.3494,0.3529,0.5194,0.5291,nfunswv2,rf,nfbotv2,42,1000,200
0.2195,0.2222,-0.1096,-0.0999,0.0454,0.0488,0.4509,0.4535,0.5247,0.5283,0.7119,0.717,nfunswv2,rf,nftonv2,42,1000,200
0.9755,0.9789,0.9511,0.9578,0.0022,0.0026,0.0025,0.0028,0.0006,0.001,0.9906,0.9931,nfunswv2,rf,nfunswv2,42,1000,200
