macro_f1_lo,macro_f1_hi,mcc_lo,mcc_hi,fp_rate_lo,fp_rate_hi,brier_lo,brier_hi,ece_lo,ece_hi,auprc_macro_lo,auprc_macro_hi,source,model,target,seed,B,B_auprc
0.9876,0.9891,0.9755,0.9785,0.0001,0.0002,0.0044,0.005,0.0012,0.0018,0.9869,0.9886,nf2018v2,lgbm,nf2018v2,42,1000,200
0.1686,0.1711,-0.0062,0.0027,0.1817,0.2376,0.4869,0.4892,0.5673,0.5709,0.5309,0.5461,nf2018v2,lgbm,nfbotv2,42,1000,200
0.3884,0.3928,0.0551,0.0637,0.1718,0.1783,0.5668,0.5708,0.5649,0.5692,0.6871,0.6923,nf2018v2,lgbm,nftonv2,42,1000,200
0.5191,0.5272,0.1269,0.1533,0.0007,0.001,0.0376,0.0392,0.0384,0.0401,0.4947,0.4998,nf2018v2,lgbm,nfunswv2,42,1000,200
0.9837,0.9854,0.9679,0.9711,0.0002,0.0004,0.0057,0.0063,0.0005,0.0011,0.9834,0.9852,nf2018v2,mlp,nf2018v2,42,1000,200
0.1582,0.1605,-0.0588,-0.0472,0.4739,0.5403,0.7259,0.729,0.7097,0.7135,0.5247,0.5422,nf2018v2,mlp,nfbotv2,42,1000,200
0.3938,0.3982,0.0119,0.0204,0.2412,0.2484,0.5402,0.5439,0.5221,0.5266,0.5568,0.5621,nf2018v2,mlp,nftonv2,42,1000,200
0.4833,0.4861,-0.0327,-0.0271,0.0526,0.0545,0.0736,0.0755,0.0592,0.0615,0.4793,0.4816,nf2018v2,mlp,nfunswv2,42,1000,200
0.9877,0.9892,0.9756,0.9786,0.0001,0.0002,0.0047,0.0053,0.0049,0.0056,0.9832,0.9856,nf2018v2,rf,nf2018v2,42,1000,200
0.0486,0.0504,0.0131,0.0148,0.0,0.0037,0.6085,0.6099,0.7355,0.7378,0.5092,0.5208,nf2018v2,rf,nfbotv2,42,1000,200
0.2753,0.2791,-0.1089,-0.0998,0.1641,0.1702,0.5421,0.5454,0.5667,0.5708,0.5724,0.5767,nf2018v2,rf,nftonv2,42,1000,200
0.4918,0.4943,0.009,0.027,0.0004,0.0006,0.0696,0.0709,0.1716,0.1733,0.4817,0.4833,nf2018v2,rf,nfunswv2,42,1000,200
0.1174,0.12,0.0223,0.0279,0.9872,0.9882,0.8697,0.8727,0.8697,0.8727,0.5008,0.501,nfbotv2,lgbm,nf2018v2,42,1000,200
0.8189,0.8441,0.64,0.6901,0.2469,0.3091,0.0028,0.0033,0.0028,0.0033,0.7063,0.7383,nfbotv2,lgbm,nfbotv2,42,1000,200
0.4587,0.4626,-0.0159,-0.0071,0.9285,0.933,0.3082,0.3123,0.3082,0.3123,0.4982,0.4992,nfbotv2,lgbm,nftonv2,42,1000,200
0.2214,0.2246,0.0184,0.0267,0.7699,0.7737,0.7474,0.7513,0.7474,0.7513,0.5015,0.5022,nfbotv2,lgbm,nfunswv2,42,1000,200
0.619,0.6239,0.3365,0.3453,0.2569,0.261,0.2061,0.2091,0.1956,0.1991,0.7064,0.713,nfbotv2,mlp,nf2018v2,42,1000,200
0.9556,0.9683,0.9113,0.9366,0.0582,0.0911,0.0004,0.0006,0.0002,0.0004,0.9637,0.9828,nfbotv2,mlp,nfbotv2,42,1000,200
0.2601,0.2638,-0.3523,-0.3438,0.5338,0.5417,0.5728,0.576,0.5917,0.5956,0.4342,0.437,nfbotv2,mlp,nftonv2,42,1000,200
0.3378,0.341,0.042,0.0503,0.5707,0.5752,0.5358,0.54,0.5235,0.5281,0.5008,0.5016,nfbotv2,mlp,nfunswv2,42,1000,200
0.8006,0.8053,0.6344,0.6425,0.1026,0.1055,0.1257,0.1269,0.1799,0.1826,0.7857,0.7921,nfbotv2,rf,nf2018v2,42,1000,200
0.9812,0.9892,0.9626,0.9784,0.0131,0.0331,0.0002,0.0003,0.0001,0.0002,0.9943,0.9974,nfbotv2,rf,nfbotv2,42,1000,200
