seed,source,target,model,budget,rt2_mcc,buffer_est,rt1_mcc,bo_mcc,ceiling_2s
42,nf2018v2,nfunswv2,rf,0.0001,0.1532694460072396,0.3401433029285876,0.0108368648633105,0.8761985266844862,0.2130184955724854
42,nf2018v2,nfunswv2,rf,0.001,0.2105348516145728,0.2531446096196038,0.0351508798697585,0.9017121184941622,0.2130184955724854
42,nf2018v2,nfunswv2,rf,0.01,0.2130184955724854,0.2194924512653471,0.0351508798697585,0.9416738256656512,0.2130184955724854
42,nf2018v2,nfunswv2,rf,0.05,0.2130184955724854,0.226800157118769,0.0326472400298112,0.947460954031949,0.2130184955724854
42,nf2018v2,nfunswv2,rf,0.1,0.2130184955724854,0.2209360844467434,0.0351508798697585,0.9521709432394554,0.2130184955724854
42,nf2018v2,nftonv2,rf,0.0001,0.2965437553964016,0.3628305384890698,0.289746575725313,0.8729442246372302,0.3231021574532543
42,nf2018v2,nftonv2,rf,0.001,0.3221783690932353,0.3287890725546364,0.289746575725313,0.9356466158206888,0.3231021574532543
42,nf2018v2,nftonv2,rf,0.01,0.3230967368119067,0.3293400605942558,0.289746575725313,0.966984422109598,0.3231021574532543
42,nf2018v2,nftonv2,rf,0.05,0.3231021574532543,0.3249521768300087,0.289746575725313,0.9798130676390084,0.3231021574532543
42,nf2018v2,nftonv2,rf,0.1,0.3231021574532543,0.3253877448398088,0.289746575725313,0.9824624469465004,0.3231021574532543
42,nf2018v2,nfbotv2,rf,0.0001,-0.0360057051808092,0.0693343798979097,-0.0360057051808092,0.216992622689214,0.1770706314836578
42,nf2018v2,nfbotv2,rf,0.001,0.1345313151405791,0.3326978068575605,0.1345313151405791,0.7254914102759167,0.1770706314836578
42,nf2018v2,nfbotv2,rf,0.01,0.1770706314836578,0.0840031489073643,0.1770706314836578,0.8904987449953482,0.1770706314836578
42,nf2018v2,nfbotv2,rf,0.05,0.1770706314836578,0.1191521258888382,0.1770706314836578,0.957586525495166,0.1770706314836578
42,nf2018v2,nfbotv2,rf,0.1,0.1770706314836578,0.1506511291514737,0.1770706314836578,0.9686476482794264,0.1770706314836578
42,nf2018v2,nfunswv2,lgbm,0.0001,0.2073980181934562,0.3061148374487811,0.0,0.7394773684828944,0.2438856798046484
