source,target,model,budget,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std,n_train_mean,n_train_std
nf2018v2,nfbotv2,mlp,0.05,rethreshold,0.2224,0.0402,0.2291,0.0367,0.5571,0.0134,0.5276,0.0056,0.9372,0.015,0.6307,0.0925,105000.0,0.0
nf2018v2,nfbotv2,mlp,0.1,buffer_only,0.9293,0.0029,0.8176,0.0061,0.9645,0.0016,0.97,0.0076,0.0564,0.0138,0.0006,0.0001,210001.0,0.0
nf2018v2,nfbotv2,mlp,0.1,calibrate,0.0,0.0,0.2836,0.1414,0.4989,0.0,0.5776,0.0674,1.0,0.0,0.0,0.0,210001.0,0.0
nf2018v2,nfbotv2,mlp,0.1,rethreshold,0.2277,0.0379,0.2291,0.0367,0.5573,0.0133,0.5276,0.0056,0.9372,0.015,0.6307,0.0925,210001.0,0.0
nf2018v2,nfbotv2,rf,0.0,zero_shot,0.0095,0.008,0.1684,0.0326,0.0498,0.0005,0.5139,0.0044,0.0163,0.0261,0.7451,0.0075,249999.0,0.0
nf2018v2,nfbotv2,rf,0.0001,augment,0.5903,,0.5832,,0.7621,,0.6511,,0.0322,,0.0087,,250210.0,
nf2018v2,nfbotv2,rf,0.0001,buffer_only,0.2597,0.1659,0.5187,0.1355,0.5784,0.0835,0.7474,0.0186,0.9062,0.1054,0.0032,0.0008,211.0,0.0
nf2018v2,nfbotv2,rf,0.0001,calibrate,0.0,0.0,0.1039,0.0671,0.4989,0.0,0.5069,0.0066,1.0,0.0,0.0006,0.0,211.0,0.0
nf2018v2,nfbotv2,rf,0.0001,rethreshold,-0.0427,0.0341,0.1684,0.0326,0.1867,0.1302,0.5139,0.0044,0.5105,0.3236,0.7451,0.0075,211.0,0.0
nf2018v2,nfbotv2,rf,0.001,augment,0.7224,,0.7714,,0.8606,,0.8741,,0.2336,,0.002,,252100.0,
nf2018v2,nfbotv2,rf,0.001,buffer_only,0.7922,0.0581,0.7516,0.0367,0.8916,0.0329,0.9346,0.0078,0.3103,0.0951,0.0008,0.0004,2101.0,0.0
nf2018v2,nfbotv2,rf,0.001,calibrate,0.0,0.0,0.0681,0.0221,0.4989,0.0,0.5033,0.0019,1.0,0.0,0.0001,0.0,2101.0,0.0
nf2018v2,nfbotv2,rf,0.001,rethreshold,0.0457,0.077,0.1684,0.0326,0.219,0.2923,0.5139,0.0044,0.3377,0.5085,0.7451,0.0075,2101.0,0.0
nf2018v2,nfbotv2,rf,0.01,augment,0.8779,,0.8347,,0.9389,,0.9743,,0.1132,,0.0004,,270999.0,
nf2018v2,nfbotv2,rf,0.01,buffer_only,0.9108,0.0178,0.8376,0.006,0.9551,0.0094,0.9794,0.0019,0.1176,0.0401,0.0003,0.0,21000.0,0.0
nf2018v2,nfbotv2,rf,0.01,calibrate,0.0,0.0,0.0681,0.0221,0.4989,0.0,0.5033,0.0019,1.0,0.0,0.0001,0.0001,21000.0,0.0
nf2018v2,nfbotv2,rf,0.01,rethreshold,0.165,0.0352,0.1684,0.0326,0.5592,0.0157,0.5139,0.0044,0.9285,0.0204,0.7451,0.0075,21000.0,0.0
nf2018v2,nfbotv2,rf,0.05,buffer_only,0.9612,0.004,0.846,0.011,0.9806,0.0019,0.9907,0.0023,0.0282,0.0115,0.0002,0.0,105000.0,0.0
nf2018v2,nfbotv2,rf,0.05,calibrate,0.0,0.0,0.0681,0.0221,0.4989,0.0,0.5033,0.0019,1.0,0.0,0.0,0.0,105000.0,0.0
nf2018v2,nfbotv2,rf,0.05,rethreshold,0.1673,0.0312,0.1684,0.0326,0.5604,0.0138,0.5139,0.0044,0.9269,0.0179,0.7451,0.0075,105000.0,0.0
nf2018v2,nfbotv2,rf,0.1,buffer_only,0.9703,0.0033,0.8592,0.0046,0.9851,0.0017,0.9949,0.0014,0.0183,0.0055,0.0001,0.0,210001.0,0.0
nf2018v2,nfbotv2,rf,0.1,calibrate,0.0,0.0,0.0681,0.0221,0.4989,0.0,0.5033,0.0019,1.0,0.0,0.0,0.0,210001.0,0.0
nf2018v2,nfbotv2,rf,0.1,rethreshold,0.1673,0.0312,0.1684,0.0326,0.5604,0.0138,0.5139,0.0044,0.9269,0.0179,0.7451,0.0075,210001.0,0.0
nf2018v2,nftonv2,lgbm,0.0,zero_shot,0.0342,0.0357,0.3669,0.0955,0.3707,0.0268,0.6124,0.067,0.1728,0.0019,0.5847,0.0384,249999.0,0.0
nf2018v2,nftonv2,lgbm,0.0001,augment,0.6285,,0.7162,,0.8112,,0.8945,,0.1937,,0.0947,,250212.0,
nf2018v2,nftonv2,lgbm,0.0001,buffer_only,0.868,0.0269,0.8722,0.0275,0.9337,0.0132,0.9635,0.0135,0.1108,0.0085,0.0451,0.008,213.0,0.0
nf2018v2,nftonv2,lgbm,0.0001,calibrate,0.0,0.0,0.3228,0.1481,0.4206,0.0,0.5803,0.1089,1.0,0.0,0.0577,0.0498,213.0,0.0
nf2018v2,nftonv2,lgbm,0.0001,rethreshold,0.3291,0.1287,0.3669,0.0955,0.6346,0.0731,0.6124,0.067,0.4001,0.166,0.5847,0.0384,213.0,0.0
nf2018v2,nftonv2,lgbm,0.001,augment,0.8022,,0.8341,,0.901,,0.9728,,0.1598,,0.0277,,252099.0,
nf2018v2,nftonv2,lgbm,0.001,buffer_only,0.9361,0.0035,0.9361,0.0034,0.968,0.0018,0.9923,0.0007,0.0549,0.0091,0.0214,0.0014,2100.0,0.0
nf2018v2,nftonv2,lgbm,0.001,calibrate,0.0,0.0,0.3228,0.1481,0.4206,0.0,0.5803,0.1089,1.0,0.0,0.0227,0.0226,2100.0,0.0
nf2018v2,nftonv2,lgbm,0.001,rethreshold,0.3634,0.0986,0.3669,0.0955,0.6719,0.0363,0.6124,0.067,0.5166,0.0792,0.5847,0.0384,2100.0,0.0
nf2018v2,nftonv2,lgbm,0.01,augment,0.9537,,0.9546,,0.9768,,0.9955,,0.033,,0.0094,,270999.0,
nf2018v2,nftonv2,lgbm,0.01,buffer_only,0.9697,0.0004,0.9692,0.0005,0.9848,0.0002,0.9973,0.0002,0.0298,0.0013,0.0054,0.0005,21000.0,0.0
nf2018v2,nftonv2,lgbm,0.01,calibrate,0.0,0.0,0.3228,0.1481,0.4206,0.0,0.5803,0.1089,1.0,0.0,0.0228,0.0246,21000.0,0.0
nf2018v2,nftonv2,lgbm,0.01,rethreshold,0.3666,0.0958,0.3669,0.0955,0.6742,0.0342,0.6124,0.067,0.5219,0.067,0.5847,0.0384,21000.0,0.0
nf2018v2,nftonv2,lgbm,0.05,buffer_only,0.9804,0.0006,0.9799,0.0006,0.9902,0.0003,0.9987,0.0001,0.019,0.0003,0.0018,0.0,105000.0,0.0
nf2018v2,nftonv2,lgbm,0.05,calibrate,0.0,0.0,0.3228,0.1481,0.4206,0.0,0.5803,0.1089,1.0,0.0,0.0205,0.0227,105000.0,0.0
nf2018v2,nftonv2,lgbm,0.05,rethreshold,0.3669,0.0955,0.3669,0.0955,0.6743,0.0341,0.6124,0.067,0.5214,0.0679,0.5847,0.0384,105000.0,0.0
nf2018v2,nftonv2,lgbm,0.1,buffer_only,0.9822,0.0007,0.9819,0.0007,0.9911,0.0004,0.9988,0.0001,0.0174,0.0007,0.0026,0.0003,210000.0,0.0
nf2018v2,nftonv2,lgbm,0.1,calibrate,0.0,0.0,0.3228,0.1481,0.4206,0.0,0.5803,0.1089,1.0,0.0,0.0206,0.0227,210000.0,0.0
nf2018v2,nftonv2,lgbm,0.1,rethreshold,0.3669,0.0955,0.3669,0.0955,0.6743,0.0341,0.6124,0.067,0.5214,0.0679,0.5847,0.0384,210000.0,0.0
nf2018v2,nftonv2,mlp,0.0,zero_shot,0.0103,0.0783,0.2248,0.017,0.3933,0.0559,0.5557,0.0177,0.2455,0.002,0.5244,0.0684,249999.0,0.0
nf2018v2,nftonv2,mlp,0.0001,augment,0.2652,,0.3987,,0.5646,,0.7118,,0.1904,,0.3649,,250212.0,
nf2018v2,nftonv2,mlp,0.0001,buffer_only,0.6773,0.069,0.7047,0.0461,0.8362,0.0371,0.8585,0.0236,0.2834,0.0918,0.0587,0.0108,213.0,0.0
nf2018v2,nftonv2,mlp,0.0001,calibrate,0.0,0.0,0.2311,0.0199,0.4206,0.0,0.5415,0.0405,1.0,0.0,0.0411,0.0423,213.0,0.0
nf2018v2,nftonv2,mlp,0.0001,rethreshold,0.2177,0.0148,0.2248,0.017,0.5647,0.0655,0.5557,0.0177,0.7315,0.1889,0.5244,0.0684,213.0,0.0
nf2018v2,nftonv2,mlp,0.001,augment,0.3949,,0.4637,,0.6714,,0.7405,,0.224,,0.1713,,252099.0,
nf2018v2,nftonv2,mlp,0.001,buffer_only,0.9083,0.0055,0.9099,0.0056,0.954,0.0028,0.9707,0.0059,0.0788,0.0102,0.0135,0.0029,2100.0,0.0
nf2018v2,nftonv2,mlp,0.001,calibrate,0.0,0.0,0.2311,0.0199,0.4206,0.0,0.5416,0.0405,1.0,0.0,0.0397,0.0217,2100.0,0.0
nf2018v2,nftonv2,mlp,0.001,rethreshold,0.211,0.0061,0.2248,0.017,0.5261,0.0657,0.5557,0.0177,0.8153,0.2024,0.5244,0.0684,2100.0,0.0
nf2018v2,nftonv2,mlp,0.01,augment,0.8677,,0.8684,,0.9335,,0.9755,,0.0677,,0.016,,270999.0,
nf2018v2,nftonv2,mlp,0.01,buffer_only,0.9324,0.0028,0.934,0.0013,0.966,0.0014,0.9899,0.0004,0.0674,0.0014,0.0044,0.0009,21000.0,0.0
nf2018v2,nftonv2,mlp,0.01,calibrate,0.0,0.0,0.2311,0.0199,0.4206,0.0,0.5417,0.0405,1.0,0.0,0.0336,0.0278,21000.0,0.0
nf2018v2,nftonv2,mlp,0.01,rethreshold,0.2224,0.0193,0.2248,0.017,0.5663,0.068,0.5557,0.0177,0.7162,0.2049,0.5244,0.0684,21000.0,0.0
nf2018v2,nftonv2,mlp,0.05,buffer_only,0.9442,0.0021,0.9449,0.0024,0.9721,0.001,0.9944,0.0006,0.0464,0.006,0.0038,0.0006,105000.0,0.0
nf2018v2,nftonv2,mlp,0.05,calibrate,0.0,0.0,0.2311,0.0199,0.4206,0.0,0.5417,0.0406,1.0,0.0,0.0447,0.0417,105000.0,0.0
nf2018v2,nftonv2,mlp,0.05,rethreshold,0.2241,0.0175,0.2248,0.017,0.5287,0.0701,0.5557,0.0177,0.8501,0.1421,0.5244,0.0684,105000.0,0.0
nf2018v2,nftonv2,mlp,0.1,buffer_only,0.9531,0.0019,0.9528,0.0017,0.9765,0.001,0.9958,0.0003,0.0428,0.0015,0.0033,0.0006,210000.0,0.0
nf2018v2,nftonv2,mlp,0.1,calibrate,0.0,0.0,0.2311,0.0199,0.4206,0.0,0.5416,0.0406,1.0,0.0,0.0449,0.0422,210000.0,0.0
nf2018v2,nftonv2,mlp,0.1,rethreshold,0.2245,0.0172,0.2248,0.017,0.5283,0.0705,0.5557,0.0177,0.8506,0.1425,0.5244,0.0684,210000.0,0.0
nf2018v2,nftonv2,rf,0.0,zero_shot,-0.1249,0.0459,0.3286,0.121,0.2672,0.0222,0.5873,0.0391,0.1666,0.0007,0.5825,0.0172,249999.0,0.0
nf2018v2,nftonv2,rf,0.0001,augment,0.7079,,0.7232,,0.8533,,0.8553,,0.1779,,0.0848,,250212.0,
nf2018v2,nftonv2,rf,0.0001,buffer_only,0.877,0.0211,0.8871,0.0152,0.9381,0.0105,0.9719,0.0041,0.1101,0.0236,0.0252,0.001,213.0,0.0
nf2018v2,nftonv2,rf,0.0001,calibrate,0.0,0.0,0.3255,0.0025,0.4206,0.0,0.5007,0.0078,1.0,0.0,0.1422,0.0028,213.0,0.0
nf2018v2,nftonv2,rf,0.0001,rethreshold,0.3249,0.1254,0.3286,0.121,0.644,0.08,0.5873,0.0391,0.4335,0.1363,0.5825,0.0172,213.0,0.0
nf2018v2,nftonv2,rf,0.001,augment,0.8423,,0.8472,,0.9211,,0.9732,,0.1285,,0.0086,,252099.0,
