source,target,model,cov_sy,auroc,mcc_inc,mcc_dec,tpr_oracle_fpr01
nf2018v2,nfunswv2,rf,-0.002343,0.286192,0.035151,0.213018,0.005425
nf2018v2,nftonv2,rf,-0.000937,0.630425,3.927839,6.643983,0.0
nf2018v2,nfbotv2,rf,-0.000189,0.30779,0.177071,0.069776,0.047198
nf2018v2,nfunswv2,lgbm,0.000935,0.379941,0.140382,0.243886,0.050807
nf2018v2,nftonv2,lgbm,0.012098,0.698128,190.306183,1.659204,0.043369
nf2018v2,nfbotv2,lgbm,0.000394,0.682281,0.251623,0.135045,0.00112
nf2018v2,nfunswv2,mlp,-0.002159,0.238607,0.065663,0.20857,0.017333
nf2018v2,nftonv2,mlp,0.004558,0.583298,104.059907,20.857496,0.015407
nf2018v2,nfbotv2,mlp,-0.001332,0.295534,0.266056,0.409881,0.0
nfunswv2,nf2018v2,rf,-0.000192,0.467839,2.662993,2.944253,0.000549
nfunswv2,nftonv2,rf,0.012411,0.700285,6.576162,0.151314,0.0
nfunswv2,nfbotv2,rf,0.000854,0.796651,0.197867,0.024258,0.083656
nfunswv2,nf2018v2,lgbm,-0.011566,0.182144,0.06275,78.433617,0.001605
nfunswv2,nftonv2,lgbm,-0.006839,0.423588,10.777051,33.715623,0.003485
nfunswv2,nfbotv2,lgbm,0.000445,0.651627,0.154895,0.146342,0.0
nfunswv2,nf2018v2,mlp,-0.007517,0.365477,17.403801,203.087582,0.004096
nfunswv2,nftonv2,mlp,-0.001567,0.519885,119.731058,57.691721,0.000868
nfunswv2,nfbotv2,mlp,-0.000417,0.452375,0.523362,0.241218,0.0
nftonv2,nf2018v2,rf,0.009574,0.608858,3.002518,0.090144,0.000845
nftonv2,nfunswv2,rf,-0.000172,0.446899,0.099495,0.256972,0.029108
nftonv2,nfbotv2,rf,6e-06,0.488289,0.144589,0.023323,0.002084
nftonv2,nf2018v2,lgbm,0.004599,0.38067,8.917478,144.291704,0.093036
nftonv2,nfunswv2,lgbm,-0.004889,0.366202,0.060912,0.219403,0.00688
nftonv2,nfbotv2,lgbm,7.1e-05,0.706527,0.27636,0.061564,0.002219
nftonv2,nf2018v2,mlp,-0.002251,0.42098,41.496523,192.15425,0.221082
nftonv2,nfunswv2,mlp,-0.004538,0.480545,0.073631,0.055265,0.0
nftonv2,nfbotv2,mlp,-0.00206,0.181562,0.158018,0.469503,0.0
nfbotv2,nf2018v2,rf,0.032822,0.930225,11.113914,0.025916,0.018371
nfbotv2,nfunswv2,rf,-0.001799,0.347019,0.046615,0.148491,0.013893
nfbotv2,nftonv2,rf,-0.028014,0.27035,0.0581,8.850368,0.003685
nfbotv2,nf2018v2,lgbm,0.050639,0.742577,0.943394,0.0,0.0
nfbotv2,nfunswv2,lgbm,-0.012051,0.334354,0.0,0.171218,0.0
nfbotv2,nftonv2,lgbm,-0.009274,0.476814,0.0,0.0,0.0
nfbotv2,nf2018v2,mlp,0.052776,0.860779,278.504203,0.0,0.067275
nfbotv2,nfunswv2,mlp,0.004418,0.478349,0.052226,0.106409,0.0
nfbotv2,nftonv2,mlp,-0.045617,0.354918,0.10718,172.259693,0.030496
