seed,source,target,model,budget,strategy,n_train,macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,orient,buffer_est,cv_est,n_benign_buf,fit_s
42,any,nf2018v2,rf,0.0001,acq_uniform,210,0.9542737250185421,0.9814979717671743,0.9120068997996225,0.9711857480291104,0.0005784870861265185,0.016531886173902464,0.015588372058139763,0.9133024731024374,0.4866666666666667,,,,194,1
42,any,nf2018v2,lgbm,0.0001,acq_uniform,210,0.9532120808599767,0.9810319801427431,0.909446586861319,0.9701009641596052,0.0014348748312746,0.017982363976924855,0.017578291571317125,0.9104924254453598,0.8516515210325033,,,,194,1
42,any,nf2018v2,mlp,0.0001,acq_uniform,210,0.9206263539458832,0.9685255117132352,0.8507305195151743,0.8690256454851435,0.001287417338732546,0.029322741735983076,0.027343011368876943,0.8508297238503718,0.5942279813194539,,,,194,1
42,any,nf2018v2,rf,0.0001,acq_diversity,210,0.9675253074039867,0.9865430279446978,0.9352387316291884,0.9747379058870078,0.005251755311305452,0.012402584931519788,0.015599472002640107,0.9433554680274218,0.65,,,,185,1
42,any,nf2018v2,lgbm,0.0001,acq_diversity,210,0.9755506614825512,0.9899403484633901,0.9518394828611078,0.9728090590498337,0.0011172740781070995,0.009633773960697457,0.009455190284099744,0.9519136321325994,0.5252737083656992,,,,185,0
42,any,nf2018v2,mlp,0.0001,acq_diversity,210,0.9676019833663644,0.9866435405931009,0.9357456039184465,0.9670675965657036,0.003578679915155227,0.012510977858859126,0.010776941762285044,0.9398154829678453,0.820836979565542,,,,185,1
42,any,nf2018v2,rf,0.001,acq_uniform,2100,0.9763975994861237,0.9902772914508153,0.9534169345541468,0.9809092499167431,0.0012987602227742426,0.008240727074142407,0.008499640835128957,0.957323473527885,0.41,,,,1854,1
42,any,nf2018v2,lgbm,0.001,acq_uniform,2100,0.9780873095437016,0.9909577091357693,0.9566452022715232,0.9825683810462589,0.0014575605993579928,0.008625358301564339,0.008457457025888258,0.9586595867972172,0.963661909917398,,,,1854,1
42,any,nf2018v2,mlp,0.001,acq_uniform,2100,0.973682276882007,0.9891132543381241,0.9476539288214119,0.9765004614336954,0.003261079161987727,0.010158362419114822,0.006253707940177977,0.9500863582269949,0.6595769485804382,,,,1854,3
42,any,nf2018v2,rf,0.001,acq_diversity,2100,0.9858141035067566,0.9941334559489916,0.9719422341676658,0.9805924024489884,0.0003516294052925897,0.006449013754931226,0.008336024986541743,0.9723114860744071,0.5333333333333333,,,,1884,1
42,any,nf2018v2,lgbm,0.001,acq_diversity,2100,0.9810835738419592,0.9921510253064812,0.9622975162008016,0.9818761392535357,0.002506777373214914,0.007559081892394685,0.007234113405716499,0.9710992954782298,0.9995853070914678,,,,1884,1
42,any,nf2018v2,mlp,0.001,acq_diversity,2100,0.9826816626105435,0.9928394963243039,0.9656894087764336,0.9815003798276261,0.0010151881217318316,0.006903039259852176,0.004966936373428133,0.9663011756699182,0.5707841159371538,,,,1884,2
42,any,nfunswv2,rf,0.0001,acq_uniform,139,0.7545533014554171,0.9688654954001767,0.5503835936524825,0.9100078463971455,0.003299695492667921,0.015650307277777775,0.015694949999999718,0.9021040800320521,0.13333333333333333,,,,133,1
42,any,nfunswv2,lgbm,0.0001,acq_uniform,139,0.6948332038405436,0.9626399600154307,0.4546779944337775,0.7876489812538283,0.002722898327807859,0.028634177148012672,0.028197802751240977,0.639616025416613,0.0006253700957965326,,,,133,0
42,any,nfunswv2,mlp,0.0001,acq_uniform,139,0.7685556729353767,0.9699848409652437,0.5641575302079436,0.7950961810679168,0.004806643040500515,0.021797849836836445,0.018554011051105674,0.6823738902227795,0.15326964895238496,,,,133,1
42,any,nfunswv2,rf,0.0001,acq_diversity,139,0.9079048103921088,0.986827171240546,0.8163812033481521,0.9368473078568172,0.005373047463651386,0.009056350611111113,0.005913249999999946,0.8865858522778097,0.30333333333333334,,,,129,1
42,any,nfunswv2,lgbm,0.0001,acq_diversity,139,0.746869171329603,0.9682324151345592,0.5434856576318179,0.9080451164745269,0.0026085781690067655,0.023150299822973466,0.023034708143630307,0.814890551277276,0.0030150495566762807,,,,129,0
42,any,nfunswv2,mlp,0.0001,acq_diversity,139,0.8563378527841923,0.9799891520594823,0.7163658094210911,0.8704719776249396,0.006474678084825558,0.016975923534783877,0.015680080038025016,0.7771662902156212,0.0136041813682778,,,,129,1
42,any,nfunswv2,rf,0.001,acq_uniform,1391,0.9606392547868334,0.9941046038166685,0.9229973479826389,0.9752098906074764,0.005586098668689787,0.004939734333333333,0.0016986333333330469,0.9237840346739735,0.5366666666666666,,,,1331,1
42,any,nfunswv2,lgbm,0.001,acq_uniform,1391,0.9517275786756549,0.9928191352116992,0.9044664359119698,0.9632751006417217,0.005674436973217904,0.0069464958065060456,0.006617487659583058,0.915811802598482,0.010577981178559782,,,,1331,1
42,any,nfunswv2,mlp,0.001,acq_uniform,1391,0.8920862570867287,0.9843495879410454,0.7841883506852528,0.9005537287789678,0.007872501844711654,0.01093745425103617,0.006409762334146593,0.8672498392908283,0.031368622875312745,,,,1331,1
42,any,nfunswv2,rf,0.001,acq_diversity,1391,0.9607482934524381,0.9942228964980317,0.9217907621141733,0.9768409932929092,0.004011598299747457,0.004602831444444444,0.0016331000000000362,0.9328268966155466,0.30666666666666664,,,,1285,1
42,any,nfunswv2,lgbm,0.001,acq_diversity,1391,0.9549434849168033,0.9934233105107338,0.9099137600864858,0.970870076851478,0.003720601531890128,0.005909052232157068,0.0054489127413402515,0.929843723137971,0.01053036646123502,,,,1285,2
42,any,nfunswv2,mlp,0.001,acq_diversity,1391,0.9344246218792949,0.9903409760805721,0.8691654059013677,0.9346399385946761,0.006121324866713088,0.007052588741512102,0.0030371945896800687,0.8994947783615994,0.2397911083019884,,,,1285,1
42,any,nftonv2,rf,0.0001,acq_uniform,210,0.9310092649874904,0.945913048635598,0.8640974018776817,0.980520310295572,0.14453852049195284,0.039525305404304795,0.02002153344100048,0.8725010581294215,0.6433333333333333,,,,61,1
42,any,nftonv2,lgbm,0.0001,acq_uniform,210,0.9501850416127519,0.9603755975124441,0.900371263383297,0.9684100818153173,0.07342797708112843,0.036638587724880455,0.03414813044013633,0.9028320486970169,0.7189463220896515,,,,61,1
42,any,nftonv2,mlp,0.0001,acq_uniform,210,0.8169052342440477,0.8610596232484389,0.6541086754085358,0.8629959516762635,0.38785080836465824,0.1087937003115736,0.05802206231187405,0.6701296266174678,0.6209116396415367,,,,61,1
42,any,nftonv2,rf,0.0001,acq_diversity,210,0.9404838828296677,0.9526833317876534,0.8809746985893511,0.9750709801512454,0.0890660924783767,0.041392507740316484,0.03246689566781169,0.8834698905954517,0.5533333333333333,,,,59,1
42,any,nftonv2,lgbm,0.0001,acq_diversity,210,0.9337652871081776,0.9474321544723805,0.8675913672603119,0.9507886486660657,0.10397430750702528,0.048479440448406144,0.044437461931979824,0.8705416591822976,0.7793156529825488,,,,59,1
42,any,nftonv2,mlp,0.0001,acq_diversity,210,0.8457531129227271,0.8774904737316581,0.6915337496187812,0.8872615831268731,0.2290792306850115,0.10326446583349971,0.07970100745412215,0.7031362507278759,0.21034900907906878,,,,59,1
42,any,nftonv2,rf,0.001,acq_uniform,2100,0.9625947055797045,0.9702178980504054,0.9251928564899881,0.9924412766633426,0.05242509397467246,0.021743853885936096,0.004694840140867483,0.9273108728504924,0.59,,,,620,1
42,any,nftonv2,lgbm,0.001,acq_uniform,2100,0.9627648932161483,0.9703980838138511,0.9255373931578633,0.9913614907495019,0.05685923871391555,0.02687292154009425,0.025464768244881593,0.9260215456555713,0.6083580962033034,,,,620,2
42,any,nftonv2,mlp,0.001,acq_uniform,2100,0.9563763497701533,0.9652437731830336,0.9127676419206452,0.9572085262909674,0.05941389000401445,0.031091220624964357,0.015987357529350783,0.9131058775733747,0.47533150190758106,,,,620,2
42,any,nftonv2,rf,0.001,acq_diversity,2100,0.9728584334981829,0.9785030470734583,0.9459239125352014,0.9939158507767307,0.05392138973030181,0.01758449825582461,0.011686658433292101,0.9464463465961794,0.47,,,,586,1
42,any,nftonv2,lgbm,0.001,acq_diversity,2100,0.9717762306947806,0.9776351299709569,0.9437182690216142,0.9933241352915875,0.05397613225794679,0.019867435089401718,0.01777520043460966,0.9438941912997301,0.43019005641300245,,,,586,1
42,any,nftonv2,mlp,0.001,acq_diversity,2100,0.9607721355860621,0.9689118004681858,0.9216988939574216,0.9806296514617894,0.06946826758147513,0.025777794319422054,0.005937651231258972,0.9223733440428245,0.5592291731238,,,,586,3
42,any,nfbotv2,rf,0.0001,acq_uniform,210,0.5434169345677315,0.9941816853368999,0.21516955526697218,0.6540755213609548,0.9535160905840286,0.003514425944444445,0.002870016666666763,0.4785814458747985,0.82,,,,1,1
42,any,nfbotv2,lgbm,0.0001,acq_uniform,210,0.5222003399483475,0.9939515909376758,0.14684721724544378,0.5146106104959903,0.9761620977353993,0.0041045291704739795,0.004096109974208916,0.1501770611664519,0.01497855788802183,,,,1,0
42,any,nfbotv2,mlp,0.0001,acq_uniform,210,0.5260160396366081,0.9893092212214911,0.05846806658270631,0.5158943241182408,0.899880810488677,0.009109088024442222,0.0073981790390988955,0.15788418146343913,0.1457249468309651,,,,1,1
42,any,nfbotv2,rf,0.0001,acq_diversity,210,0.8053290953581718,0.996818549431725,0.6113176835305077,0.8481417193537706,0.41477949940405245,0.0021897084444444446,0.001814933333333265,0.6502388294526256,0.35,,,,9,1
42,any,nfbotv2,lgbm,0.0001,acq_diversity,210,0.7872343477085115,0.9963698712809151,0.5749498738071286,0.8182747737790043,0.399284862932062,0.003652704957125981,0.0036771157509076146,0.6477765923616919,0.0001867578470667348,,,,9,0
42,any,nfbotv2,mlp,0.0001,acq_diversity,210,0.8130369748365005,0.9970928326120175,0.634556404465511,0.7858152158782921,0.4600715137067938,0.0024459907742833764,0.0018812200673585609,0.6562431410370132,0.41359767836457845,,,,9,1
42,any,nfbotv2,rf,0.001,acq_uniform,2100,0.7859345153144699,0.9968560794155301,0.6042275038023259,0.845063483921178,0.566150178784267,0.0021447135,0.002016683333333194,0.7034086268974042,0.7733333333333333,,,,5,1
42,any,nfbotv2,lgbm,0.001,acq_uniform,2100,0.7985025949056984,0.9969837183754809,0.619295158901759,0.7563846118034201,0.5268176400476758,0.002662802701505062,0.0026624284864901204,0.6266835188020285,0.9994922569197535,,,,5,0
42,any,nfbotv2,mlp,0.001,acq_uniform,2100,0.7628537811140399,0.9964583099136239,0.5464317936003292,0.710652368661319,0.5852205005959475,0.002972635886295318,0.0024748390623659765,0.5716536783620784,0.8763231117556775,,,,5,1
42,any,nfbotv2,rf,0.001,acq_diversity,2100,0.9378071245226197,0.9989903835536804,0.8772455649350447,0.9683515790693826,0.17401668653158522,0.0007531970000000003,0.0008476666666663627,0.8992754649342601,0.7566666666666667,,,,23,1
42,any,nfbotv2,lgbm,0.001,acq_diversity,2100,0.9423500619259275,0.9990558428347794,0.8854732420365441,0.9694342075023334,0.1501787842669845,0.0007664603787969757,0.0007467873516917503,0.917600225412332,0.9908627525781625,,,,23,1
42,any,nfbotv2,mlp,0.001,acq_diversity,2100,0.8907607425049162,0.9982223168456249,0.7827334710576384,0.8593938554724605,0.2586412395709178,0.0016011731059902973,0.0011347562474691493,0.791469057892977,0.7595906797882455,,,,23,2
42,nf2018v2,nfunswv2,rf,0,zero_shot_2s,249999,0.49300494086008717,0.9436911708691015,0.01774516410626893,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.21301849557248545,0.9266666666666666,-1,,,,
42,nf2018v2,nfunswv2,rf,0.0001,rethreshold_2s,144,0.49300494086008717,0.9436911708691015,0.1532694460072396,0.482504028346021,0.0005092443437503248,0.07024142205555556,0.17243268333333336,0.035150879869758504,0.02,-1,0.34014330292858763,,134,
